




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	upload_1 (Mus musculus)
Reference List:	mouse_background.txt (Mus musculus)	There are duplicate IDs in the file. The unique set of IDs will be used.
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	mouse_background.txt - REFLIST (18060)	upload_1 (4777)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
membrane raft polarization (GO:0001766)	1	1	.26	+	3.78	2.32E-01
extraction of mislocalized protein from mitochondrial outer membrane (GO:0140570)	1	1	.26	+	3.78	2.32E-01
primary adaptive immune response involving T cells and B cells (GO:0090721)	1	1	.26	+	3.78	2.32E-01
primary adaptive immune response (GO:0090720)	1	1	.26	+	3.78	2.32E-01
extraction of mislocalized protein from ER membrane (GO:0140569)	1	1	.26	+	3.78	2.32E-01
extraction of mislocalized protein from membrane (GO:0140568)	2	2	.53	+	3.78	9.91E-02
negative regulation of metanephric mesenchymal cell migration (GO:2000590)	1	1	.26	+	3.78	2.32E-01
DCT cell differentiation (GO:0072069)	1	1	.26	+	3.78	2.32E-01
negative regulation of platelet-derived growth factor receptor-alpha signaling pathway (GO:2000584)	2	2	.53	+	3.78	9.91E-02
serotonin secretion, neurotransmission (GO:0060096)	1	1	.26	+	3.78	2.32E-01
thyroid-stimulating hormone signaling pathway (GO:0038194)	1	1	.26	+	3.78	2.32E-01
VEGF-activated neuropilin signaling pathway (GO:0038190)	2	2	.53	+	3.78	9.91E-02
positive regulation of CD24 production (GO:2000560)	1	1	.26	+	3.78	2.32E-01
actin ubiquitination (GO:0007014)	1	1	.26	+	3.78	2.32E-01
regulation of mitotic spindle elongation (GO:0032888)	1	1	.26	+	3.78	2.32E-01
regulation of spindle elongation (GO:0032887)	1	1	.26	+	3.78	2.32E-01
regulation of CD24 production (GO:2000559)	1	1	.26	+	3.78	2.32E-01
intracellular bile acid receptor signaling pathway (GO:0038185)	1	1	.26	+	3.78	2.32E-01
mesenchymal to epithelial transition involved in renal vesicle formation (GO:0072036)	1	1	.26	+	3.78	2.32E-01
proximal convoluted tubule segment 2 development (GO:0072032)	1	1	.26	+	3.78	2.32E-01
positive regulation of dendritic cell dendrite assembly (GO:2000549)	1	1	.26	+	3.78	2.32E-01
negative regulation of dendritic cell dendrite assembly (GO:2000548)	1	1	.26	+	3.78	2.32E-01
negative regulation of endothelial cell chemotaxis to fibroblast growth factor (GO:2000545)	1	1	.26	+	3.78	2.32E-01
connecting tubule development (GO:0072027)	1	1	.26	+	3.78	2.32E-01
macula densa development (GO:0072024)	1	1	.26	+	3.78	2.32E-01
descending thin limb development (GO:0072022)	1	1	.26	+	3.78	2.32E-01
proximal straight tubule development (GO:0072020)	1	1	.26	+	3.78	2.32E-01
proximal convoluted tubule development (GO:0072019)	1	1	.26	+	3.78	2.32E-01
positive regulation of renal albumin absorption (GO:2000534)	1	1	.26	+	3.78	2.32E-01
regulation of renal albumin absorption (GO:2000532)	1	1	.26	+	3.78	2.32E-01
VEGF-activated neuropilin signaling pathway involved in axon guidance (GO:1902378)	1	1	.26	+	3.78	2.32E-01
granulocyte colony-stimulating factor signaling pathway (GO:0038158)	2	2	.53	+	3.78	9.91E-02
positive regulation of protein localization to spindle pole body (GO:1902365)	1	1	.26	+	3.78	2.32E-01
regulation of protein localization to spindle pole body (GO:1902363)	1	1	.26	+	3.78	2.32E-01
negative regulation of cellular pH reduction (GO:0032848)	1	1	.26	+	3.78	2.32E-01
metabolism by organism of protein in other organism involved in symbiotic interaction (GO:0052418)	1	1	.26	+	3.78	2.32E-01
metabolism by host of symbiont protein (GO:0052417)	1	1	.26	+	3.78	2.32E-01
spermine biosynthetic process (GO:0006597)	2	2	.53	+	3.78	9.91E-02
ornithine biosynthetic process (GO:0006592)	1	1	.26	+	3.78	2.32E-01
granulosa cell development (GO:0060016)	1	1	.26	+	3.78	2.32E-01
acetylcholine catabolic process (GO:0006581)	1	1	.26	+	3.78	2.32E-01
negative regulation of low-density lipoprotein particle receptor catabolic process (GO:0032804)	2	2	.53	+	3.78	9.91E-02
low-density lipoprotein particle receptor catabolic process (GO:0032802)	1	1	.26	+	3.78	2.32E-01
lysine catabolic process (GO:0006554)	2	2	.53	+	3.78	9.91E-02
glutamine biosynthetic process (GO:0006542)	1	1	.26	+	3.78	2.32E-01
glutamate catabolic process via 2-oxoglutarate (GO:0006539)	1	1	.26	+	3.78	2.32E-01
cysteine biosynthetic process from serine (GO:0006535)	1	1	.26	+	3.78	2.32E-01
negative regulation of relaxation of cardiac muscle (GO:1901898)	2	2	.53	+	3.78	9.91E-02
positive regulation of glutamate uptake involved in transmission of nerve impulse (GO:0051951)	1	1	.26	+	3.78	2.32E-01
regulation of glutamate uptake involved in transmission of nerve impulse (GO:0051946)	2	2	.53	+	3.78	9.91E-02
negative regulation of catecholamine uptake involved in synaptic transmission (GO:0051945)	1	1	.26	+	3.78	2.32E-01
positive regulation of amino acid uptake involved in synaptic transmission (GO:0051943)	1	1	.26	+	3.78	2.32E-01
regulation of amino acid uptake involved in synaptic transmission (GO:0051941)	2	2	.53	+	3.78	9.91E-02
glutamate reuptake (GO:0051935)	2	2	.53	+	3.78	9.91E-02
amino acid neurotransmitter reuptake (GO:0051933)	2	2	.53	+	3.78	9.91E-02
endoplasmic reticulum tubular network membrane organization (GO:1990809)	4	4	1.06	+	3.78	2.27E-02
protein palmitoleylation (GO:0045234)	1	1	.26	+	3.78	2.32E-01
negative regulation of transcription of nucleolar large rRNA by RNA polymerase I (GO:1901837)	1	1	.26	+	3.78	2.32E-01
positive regulation of deadenylation-independent decapping of nuclear-transcribed mRNA (GO:1901835)	1	1	.26	+	3.78	2.32E-01
regulation of deadenylation-independent decapping of nuclear-transcribed mRNA (GO:1901834)	1	1	.26	+	3.78	2.32E-01
telomerase RNA stabilization (GO:0090669)	4	4	1.06	+	3.78	2.27E-02
endothelial cell chemotaxis to vascular endothelial growth factor (GO:0090668)	1	1	.26	+	3.78	2.32E-01
cell chemotaxis to vascular endothelial growth factor (GO:0090667)	1	1	.26	+	3.78	2.32E-01
negative regulation of cellular amine catabolic process (GO:0033242)	1	1	.26	+	3.78	2.32E-01
regulation of cellular amine catabolic process (GO:0033241)	1	1	.26	+	3.78	2.32E-01
very long-chain fatty acid beta-oxidation (GO:0140493)	1	1	.26	+	3.78	2.32E-01
tRNA 3'-terminal CCA addition (GO:0001680)	1	1	.26	+	3.78	2.32E-01
iron-sulfur cluster export from the mitochondrion (GO:0140466)	1	1	.26	+	3.78	2.32E-01
mitochondrial mRNA 3'-end processing (GO:0090616)	1	1	.26	+	3.78	2.32E-01
mitochondrial mRNA processing (GO:0090615)	2	2	.53	+	3.78	9.91E-02
positive regulation by host of viral release from host cell (GO:0044791)	5	5	1.32	+	3.78	1.14E-02
negative regulation by host of viral release from host cell (GO:0044790)	1	1	.26	+	3.78	2.32E-01
protein targeting to Golgi apparatus (GO:0140450)	1	1	.26	+	3.78	2.32E-01
