




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	upload_1 (Saccharomyces cerevisiae)
Reference List:	yeast_background.txt (Saccharomyces cerevisiae)
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	yeast_background.txt - REFLIST (4652)	upload_1 (3142)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
tRNA thio-modification (GO:0034227)	7	7	4.73	+	1.48	1.99E-01
mRNA pseudouridine synthesis (GO:1990481)	6	6	4.05	+	1.48	2.23E-01
chemotropism (GO:0043577)	3	3	2.03	+	1.48	3.30E-01
endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000461)	5	5	3.38	+	1.48	2.51E-01
glycine decarboxylation via glycine cleavage system (GO:0019464)	3	3	2.03	+	1.48	3.30E-01
triglyceride biosynthetic process (GO:0019432)	3	3	2.03	+	1.48	3.30E-01
removal of superoxide radicals (GO:0019430)	7	7	4.73	+	1.48	1.99E-01
sulfate reduction (GO:0019419)	3	3	2.03	+	1.48	3.30E-01
D-gluconate catabolic process (GO:0046177)	3	3	2.03	+	1.48	3.30E-01
aldonic acid catabolic process (GO:0046176)	3	3	2.03	+	1.48	3.30E-01
tropism (GO:0009606)	3	3	2.03	+	1.48	3.30E-01
heme a metabolic process (GO:0046160)	3	3	2.03	+	1.48	3.30E-01
protein localization to spindle pole body (GO:0071988)	3	3	2.03	+	1.48	3.30E-01
protein-RNA complex remodeling (GO:0110136)	3	3	2.03	+	1.48	3.30E-01
thiamine transmembrane transport (GO:0071934)	3	3	2.03	+	1.48	3.30E-01
'de novo' cotranslational protein folding (GO:0051083)	5	5	3.38	+	1.48	2.51E-01
regulation of RNA splicing (GO:0043484)	5	5	3.38	+	1.48	2.51E-01
mRNA 3'-splice site recognition (GO:0000389)	3	3	2.03	+	1.48	3.30E-01
sulfate assimilation, phosphoadenylyl sulfate reduction by phosphoadenylyl-sulfate reductase (thioredoxin) (GO:0019379)	3	3	2.03	+	1.48	3.30E-01
positive regulation of anaphase-promoting complex-dependent catabolic process (GO:1905786)	3	3	2.03	+	1.48	3.30E-01
regulation of anaphase-promoting complex-dependent catabolic process (GO:1905784)	3	3	2.03	+	1.48	3.30E-01
response to oxygen radical (GO:0000305)	7	7	4.73	+	1.48	1.99E-01
response to superoxide (GO:0000303)	7	7	4.73	+	1.48	1.99E-01
regulation of exonuclease activity (GO:1905777)	3	3	2.03	+	1.48	3.30E-01
fatty acid elongation, unsaturated fatty acid (GO:0019368)	3	3	2.03	+	1.48	3.30E-01
fatty acid elongation, saturated fatty acid (GO:0019367)	3	3	2.03	+	1.48	3.30E-01
cysteine biosynthetic process via cystathionine (GO:0019343)	3	3	2.03	+	1.48	3.30E-01
mitochondrial translational initiation (GO:0070124)	3	3	2.03	+	1.48	3.30E-01
adenine metabolic process (GO:0046083)	5	5	3.38	+	1.48	2.51E-01
negative regulation of phosphatidylglycerol biosynthetic process (GO:1901352)	3	3	2.03	+	1.48	3.30E-01
regulation of phosphatidylglycerol biosynthetic process (GO:1901351)	3	3	2.03	+	1.48	3.30E-01
snoRNA localization (GO:0048254)	3	3	2.03	+	1.48	3.30E-01
positive regulation of trehalose catabolic process (GO:1901319)	1	1	.68	+	1.48	4.91E-01
UDP metabolic process (GO:0046048)	2	2	1.35	+	1.48	3.91E-01
cyanamide metabolic process (GO:0018890)	2	2	1.35	+	1.48	3.91E-01
ITP metabolic process (GO:0046041)	1	1	.68	+	1.48	4.91E-01
maintenance of mitotic sister chromatid cohesion (GO:0034088)	1	1	.68	+	1.48	4.91E-01
7-methylguanosine cap hypermethylation (GO:0036261)	1	1	.68	+	1.48	4.91E-01
maintenance of sister chromatid cohesion (GO:0034086)	1	1	.68	+	1.48	4.91E-01
inter-Golgi cisterna vesicle-mediated transport (GO:0048219)	1	1	.68	+	1.48	4.91E-01
positive regulation of G2/MI transition of meiotic cell cycle (GO:0110032)	1	1	.68	+	1.48	4.91E-01
regulation of G2/MI transition of meiotic cell cycle (GO:0110030)	1	1	.68	+	1.48	4.91E-01
AMP metabolic process (GO:0046033)	8	8	5.40	+	1.48	1.79E-01
positive regulation of hydrogen peroxide-mediated programmed cell death (GO:1901300)	1	1	.68	+	1.48	4.91E-01
establishment or maintenance of microtubule cytoskeleton polarity (GO:0030951)	1	1	.68	+	1.48	4.91E-01
negative regulation of DNA strand resection involved in replication fork processing (GO:0110027)	1	1	.68	+	1.48	4.91E-01
regulation of DNA strand resection involved in replication fork processing (GO:0110026)	1	1	.68	+	1.48	4.91E-01
COPI coating of Golgi vesicle (GO:0048205)	1	1	.68	+	1.48	4.91E-01
Golgi transport vesicle coating (GO:0048200)	1	1	.68	+	1.48	4.91E-01
peptidyl-serine acetylation (GO:0030920)	2	2	1.35	+	1.48	3.91E-01
contractile ring maintenance (GO:0036212)	2	2	1.35	+	1.48	3.91E-01
purine nucleoside bisphosphate catabolic process (GO:0034034)	2	2	1.35	+	1.48	3.91E-01
ribonucleoside bisphosphate catabolic process (GO:0034031)	2	2	1.35	+	1.48	3.91E-01
cellular cobalt ion homeostasis (GO:0006877)	1	1	.68	+	1.48	4.91E-01
tail-anchored membrane protein insertion into ER membrane (GO:0071816)	1	1	.68	+	1.48	4.91E-01
pyrimidine nucleotide transport (GO:0006864)	1	1	.68	+	1.48	4.91E-01
plasma membrane pyruvate transport (GO:0006849)	1	1	.68	+	1.48	4.91E-01
regulation of protein binding (GO:0043393)	1	1	.68	+	1.48	4.91E-01
water transport (GO:0006833)	2	2	1.35	+	1.48	3.91E-01
peptidyl-tyrosine dephosphorylation involved in inactivation of protein kinase activity (GO:1990264)	1	1	.68	+	1.48	4.91E-01
D-leucine catabolic process (GO:1900832)	1	1	.68	+	1.48	4.91E-01
D-leucine metabolic process (GO:1900831)	1	1	.68	+	1.48	4.91E-01
D-tyrosine catabolic process (GO:1900829)	1	1	.68	+	1.48	4.91E-01
D-tyrosine metabolic process (GO:1900828)	1	1	.68	+	1.48	4.91E-01
nitric oxide biosynthetic process (GO:0006809)	1	1	.68	+	1.48	4.91E-01
superoxide metabolic process (GO:0006801)	8	8	5.40	+	1.48	1.79E-01
response to aluminum ion (GO:0010044)	1	1	.68	+	1.48	4.91E-01
response to zinc ion (GO:0010043)	1	1	.68	+	1.48	4.91E-01
proteasome core complex import into nucleus (GO:1990236)	1	1	.68	+	1.48	4.91E-01
response to iron ion (GO:0010039)	2	2	1.35	+	1.48	3.91E-01
response to carbon dioxide (GO:0010037)	2	2	1.35	+	1.48	3.91E-01
protein glycosylation in endoplasmic reticulum (GO:0033577)	1	1	.68	+	1.48	4.91E-01
gamma-tubulin complex localization (GO:0033566)	1	1	.68	+	1.48	4.91E-01
organic acid phosphorylation (GO:0031388)	1	1	.68	+	1.48	4.91E-01
regulation of termination of mating projection growth (GO:0031385)	2	2	1.35	+	1.48	3.91E-01
mating projection formation (GO:0031382)	1	1	.68	+	1.48	4.91E-01
protein unfolding (GO:0043335)	8	8	5.40	+	1.48	1.79E-01
unsaturated fatty acid metabolic process (GO:0033559)	1	1	.68	+	1.48	4.91E-01
fatty acid beta-oxidation using acyl-CoA oxidase (GO:0033540)	1	1	.68	+	1.48	4.91E-01
fatty acid beta-oxidation using acyl-CoA dehydrogenase (GO:0033539)	1	1	.68	+	1.48	4.91E-01
raffinose metabolic process (GO:0033530)	1	1	.68	+	1.48	4.91E-01
asparagine biosynthetic process from oxaloacetate (GO:0019266)	1	1	.68	+	1.48	4.91E-01
negative regulation of vesicle fusion (GO:0031339)	1	1	.68	+	1.48	4.91E-01
lactate biosynthetic process (GO:0019249)	4	4	2.70	+	1.48	2.86E-01
mitotic actomyosin contractile ring assembly actin filament organization (GO:1903479)	1	1	.68	+	1.48	4.91E-01
protein localization to cell division site involved in mitotic actomyosin contractile ring assembly (GO:1903476)	2	2	1.35	+	1.48	3.91E-01
negative regulation of hydrogen peroxide-mediated programmed cell death (GO:1901299)	1	1	.68	+	1.48	4.91E-01
regulation of hydrogen peroxide-mediated programmed cell death (GO:1901298)	2	2	1.35	+	1.48	3.91E-01
regulation of mitotic actomyosin contractile ring contraction (GO:1903471)	2	2	1.35	+	1.48	3.91E-01
cilium assembly (GO:0060271)	1	1	.68	+	1.48	4.91E-01
negative regulation of mitotic DNA replication initiation (GO:1903467)	1	1	.68	+	1.48	4.91E-01
negative regulation of mitotic cell cycle DNA replication (GO:1903464)	1	1	.68	+	1.48	4.91E-01
Okazaki fragment processing involved in mitotic DNA replication (GO:1903461)	1	1	.68	+	1.48	4.91E-01
lactate catabolic process (GO:1903457)	2	2	1.35	+	1.48	3.91E-01
cysteine transport (GO:0042883)	1	1	.68	+	1.48	4.91E-01
positive regulation of G1 to G0 transition (GO:1903452)	4	4	2.70	+	1.48	2.86E-01
putrescine biosynthetic process (GO:0009446)	1	1	.68	+	1.48	4.91E-01
putrescine metabolic process (GO:0009445)	1	1	.68	+	1.48	4.91E-01
allantoin assimilation pathway (GO:0009442)	1	1	.68	+	1.48	4.91E-01
negative regulation of mitotic cytokinetic process (GO:1903437)	1	1	.68	+	1.48	4.91E-01
pyruvate biosynthetic process (GO:0042866)	1	1	.68	+	1.48	4.91E-01
chorismate biosynthetic process (GO:0009423)	4	4	2.70	+	1.48	2.86E-01
L-alanine catabolic process (GO:0042853)	2	2	1.35	+	1.48	3.91E-01
L-alanine metabolic process (GO:0042851)	2	2	1.35	+	1.48	3.91E-01
D-xylose catabolic process (GO:0042843)	4	4	2.70	+	1.48	2.86E-01
positive regulation of nuclear-transcribed mRNA poly(A) tail shortening (GO:0060213)	1	1	.68	+	1.48	4.91E-01
vitamin B6 catabolic process (GO:0042820)	1	1	.68	+	1.48	4.91E-01
