




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	upload_1 (Saccharomyces cerevisiae)
Reference List:	yeast_background.txt (Saccharomyces cerevisiae)
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	yeast_background.txt - REFLIST (4652)	upload_1 (3741)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
protein glycosylation in endoplasmic reticulum (GO:0033577)	1	1	.80	+	1.24	5.53E-01
response to acetate (GO:0010034)	1	1	.80	+	1.24	5.53E-01
organic acid phosphorylation (GO:0031388)	1	1	.80	+	1.24	5.53E-01
regulation of termination of mating projection growth (GO:0031385)	2	2	1.61	+	1.24	4.78E-01
mating projection formation (GO:0031382)	1	1	.80	+	1.24	5.53E-01
unsaturated fatty acid metabolic process (GO:0033559)	1	1	.80	+	1.24	5.53E-01
fatty acid beta-oxidation using acyl-CoA oxidase (GO:0033540)	1	1	.80	+	1.24	5.53E-01
isopentenyl diphosphate biosynthetic process, mevalonate pathway (GO:0019287)	4	4	3.22	+	1.24	4.01E-01
fatty acid beta-oxidation using acyl-CoA dehydrogenase (GO:0033539)	1	1	.80	+	1.24	5.53E-01
raffinose metabolic process (GO:0033530)	1	1	.80	+	1.24	5.53E-01
protein initiator methionine removal (GO:0070084)	2	2	1.61	+	1.24	4.78E-01
asparagine biosynthetic process from oxaloacetate (GO:0019266)	1	1	.80	+	1.24	5.53E-01
glycine biosynthetic process, by transamination of glyoxylate (GO:0019265)	1	1	.80	+	1.24	5.53E-01
glycine biosynthetic process from serine (GO:0019264)	2	2	1.61	+	1.24	4.78E-01
L-lysine catabolic process to acetyl-CoA via saccharopine (GO:0033512)	1	1	.80	+	1.24	5.53E-01
regulation of sulfur amino acid metabolic process (GO:0031335)	2	2	1.61	+	1.24	4.78E-01
glucose 1-phosphate metabolic process (GO:0019255)	2	2	1.61	+	1.24	4.78E-01
mitotic actomyosin contractile ring assembly actin filament organization (GO:1903479)	1	1	.80	+	1.24	5.53E-01
intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress (GO:0070059)	1	1	.80	+	1.24	5.53E-01
negative regulation of hydrogen peroxide-mediated programmed cell death (GO:1901299)	1	1	.80	+	1.24	5.53E-01
regulation of hydrogen peroxide-mediated programmed cell death (GO:1901298)	2	2	1.61	+	1.24	4.78E-01
regulation of mitotic actomyosin contractile ring contraction (GO:1903471)	2	2	1.61	+	1.24	4.78E-01
respiratory chain complex III assembly (GO:0017062)	7	7	5.63	+	1.24	3.34E-01
cilium assembly (GO:0060271)	1	1	.80	+	1.24	5.53E-01
vesicle targeting, to, from or within Golgi (GO:0048199)	2	2	1.61	+	1.24	4.78E-01
negative regulation of mitotic DNA replication initiation (GO:1903467)	1	1	.80	+	1.24	5.53E-01
Golgi vesicle budding (GO:0048194)	4	4	3.22	+	1.24	4.01E-01
negative regulation of mitotic cell cycle DNA replication (GO:1903464)	1	1	.80	+	1.24	5.53E-01
Okazaki fragment processing involved in mitotic DNA replication (GO:1903461)	1	1	.80	+	1.24	5.53E-01
lactate catabolic process (GO:1903457)	2	2	1.61	+	1.24	4.78E-01
cysteine transport (GO:0042883)	1	1	.80	+	1.24	5.53E-01
putrescine biosynthetic process (GO:0009446)	1	1	.80	+	1.24	5.53E-01
putrescine metabolic process (GO:0009445)	1	1	.80	+	1.24	5.53E-01
allantoin assimilation pathway (GO:0009442)	1	1	.80	+	1.24	5.53E-01
cyclic purine nucleotide metabolic process (GO:0052652)	1	1	.80	+	1.24	5.53E-01
glyoxylate catabolic process (GO:0009436)	1	1	.80	+	1.24	5.53E-01
negative regulation of mitotic cytokinetic process (GO:1903437)	1	1	.80	+	1.24	5.53E-01
pyruvate biosynthetic process (GO:0042866)	1	1	.80	+	1.24	5.53E-01
chorismate biosynthetic process (GO:0009423)	4	4	3.22	+	1.24	4.01E-01
fluoride transmembrane transport (GO:1903424)	2	2	1.61	+	1.24	4.78E-01
L-alanine catabolic process (GO:0042853)	2	2	1.61	+	1.24	4.78E-01
L-alanine metabolic process (GO:0042851)	2	2	1.61	+	1.24	4.78E-01
response to water deprivation (GO:0009414)	2	2	1.61	+	1.24	4.78E-01
glycol biosynthetic process (GO:0042845)	2	2	1.61	+	1.24	4.78E-01
glycol metabolic process (GO:0042844)	2	2	1.61	+	1.24	4.78E-01
D-xylose catabolic process (GO:0042843)	4	4	3.22	+	1.24	4.01E-01
positive regulation of nuclear-transcribed mRNA poly(A) tail shortening (GO:0060213)	1	1	.80	+	1.24	5.53E-01
vitamin B6 catabolic process (GO:0042820)	1	1	.80	+	1.24	5.53E-01
outer dynein arm assembly (GO:0036158)	1	1	.80	+	1.24	5.53E-01
nuclear membrane organization (GO:0071763)	2	2	1.61	+	1.24	4.78E-01
protein arginylation (GO:0016598)	1	1	.80	+	1.24	5.53E-01
phosphatidylinositol acyl-chain remodeling (GO:0036149)	2	2	1.61	+	1.24	4.78E-01
regulation of lysine biosynthetic process via aminoadipic acid (GO:1902986)	1	1	.80	+	1.24	5.53E-01
DNA strand elongation involved in mitotic DNA replication (GO:1902983)	1	1	.80	+	1.24	5.53E-01
heme oxidation (GO:0006788)	1	1	.80	+	1.24	5.53E-01
porphyrin-containing compound catabolic process (GO:0006787)	1	1	.80	+	1.24	5.53E-01
positive regulation of nucleotide biosynthetic process (GO:0030810)	1	1	.80	+	1.24	5.53E-01
uroporphyrinogen III biosynthetic process (GO:0006780)	1	1	.80	+	1.24	5.53E-01
base conversion or substitution editing (GO:0016553)	2	2	1.61	+	1.24	4.78E-01
regulation of nucleotide biosynthetic process (GO:0030808)	1	1	.80	+	1.24	5.53E-01
intein-mediated protein splicing (GO:0016539)	1	1	.80	+	1.24	5.53E-01
regulation of MAPK export from nucleus (GO:0071701)	2	2	1.61	+	1.24	4.78E-01
glutathione biosynthetic process (GO:0006750)	2	2	1.61	+	1.24	4.78E-01
protein localization to septin ring (GO:1902935)	2	2	1.61	+	1.24	4.78E-01
mitochondrial tRNA 3'-end processing (GO:1990180)	1	1	.80	+	1.24	5.53E-01
malonic acid transport (GO:1900752)	1	1	.80	+	1.24	5.53E-01
NADP catabolic process (GO:0006742)	1	1	.80	+	1.24	5.53E-01
inulin catabolic process (GO:1902927)	1	1	.80	+	1.24	5.53E-01
inulin metabolic process (GO:1902926)	1	1	.80	+	1.24	5.53E-01
protein localization to actomyosin contractile ring (GO:1990179)	1	1	.80	+	1.24	5.53E-01
(R)-carnitine transport (GO:1900749)	1	1	.80	+	1.24	5.53E-01
SCF complex disassembly in response to cadmium stress (GO:1990171)	1	1	.80	+	1.24	5.53E-01
NADH metabolic process (GO:0006734)	14	14	11.26	+	1.24	2.43E-01
mitochondrial protein catabolic process (GO:0035694)	1	1	.80	+	1.24	5.53E-01
cellular response to drug (GO:0035690)	2	2	1.61	+	1.24	4.78E-01
negative regulation of protein polyubiquitination (GO:1902915)	1	1	.80	+	1.24	5.53E-01
regulation of protein polyubiquitination (GO:1902914)	1	1	.80	+	1.24	5.53E-01
protein localization to site of double-strand break (GO:1990166)	2	2	1.61	+	1.24	4.78E-01
triterpenoid metabolic process (GO:0006722)	1	1	.80	+	1.24	5.53E-01
terpenoid metabolic process (GO:0006721)	8	8	6.43	+	1.24	3.17E-01
proteasome storage granule assembly (GO:1902906)	4	4	3.22	+	1.24	4.01E-01
protein localization to cell tip (GO:1990151)	1	1	.80	+	1.24	5.53E-01
positive regulation of ion transport (GO:0043270)	2	2	1.61	+	1.24	4.78E-01
ferulate metabolic process (GO:0033494)	1	1	.80	+	1.24	5.53E-01
protein localization to nuclear periphery (GO:1990139)	2	2	1.61	+	1.24	4.78E-01
clathrin-coated vesicle cargo loading, AP-1-mediated (GO:0035653)	1	1	.80	+	1.24	5.53E-01
positive regulation of nitric oxide biosynthetic process (GO:0045429)	1	1	.80	+	1.24	5.53E-01
regulation of nitric oxide biosynthetic process (GO:0045428)	2	2	1.61	+	1.24	4.78E-01
messenger ribonucleoprotein complex assembly (GO:1990120)	1	1	.80	+	1.24	5.53E-01
RNA polymerase III assembly (GO:1990115)	2	2	1.61	+	1.24	4.78E-01
RNA polymerase II core complex assembly (GO:1990114)	1	1	.80	+	1.24	5.53E-01
RNA polymerase I assembly (GO:1990113)	1	1	.80	+	1.24	5.53E-01
nonribosomal peptide biosynthetic process (GO:0019184)	2	2	1.61	+	1.24	4.78E-01
2'-deoxyribonucleotide metabolic process (GO:0009394)	4	4	3.22	+	1.24	4.01E-01
sulfur amino acid transport (GO:0000101)	4	4	3.22	+	1.24	4.01E-01
regulation of secondary cell septum biogenesis (GO:1903395)	1	1	.80	+	1.24	5.53E-01
positive regulation of antisense RNA transcription (GO:0060196)	1	1	.80	+	1.24	5.53E-01
regulation of protein desumoylation (GO:0060188)	4	4	3.22	+	1.24	4.01E-01
activation of adenylate cyclase activity (GO:0007190)	1	1	.80	+	1.24	5.53E-01
regulation of exocyst localization (GO:0060178)	2	2	1.61	+	1.24	4.78E-01
astral microtubule depolymerization (GO:0060172)	1	1	.80	+	1.24	5.53E-01
regulation of Golgi organization (GO:1903358)	1	1	.80	+	1.24	5.53E-01
regulation of nucleus organization (GO:1903353)	1	1	.80	+	1.24	5.53E-01
cell surface receptor signaling pathway (GO:0007166)	1	1	.80	+	1.24	5.53E-01
positive regulation of meiotic DNA double-strand break formation (GO:1903343)	1	1	.80	+	1.24	5.53E-01
regulation of fungal-type cell wall biogenesis (GO:0032995)	1	1	.80	+	1.24	5.53E-01
cell adhesion (GO:0007155)	7	7	5.63	+	1.24	3.34E-01
cell part morphogenesis (GO:0032990)	2	2	1.61	+	1.24	4.78E-01
positive regulation of protein folding (GO:1903334)	1	1	.80	+	1.24	5.53E-01
regulation of sulfur metabolic process (GO:0042762)	8	8	6.43	+	1.24	3.17E-01
xylulose 5-phosphate biosynthetic process (GO:1901159)	1	1	.80	+	1.24	5.53E-01
regulation of protein folding (GO:1903332)	1	1	.80	+	1.24	5.53E-01
very long-chain fatty acid catabolic process (GO:0042760)	2	2	1.61	+	1.24	4.78E-01
regulation of iron-sulfur cluster assembly (GO:1903329)	1	1	.80	+	1.24	5.53E-01
amino acid transmembrane import into vacuole (GO:0032975)	2	2	1.61	+	1.24	4.78E-01
amino acid transmembrane export from vacuole (GO:0032974)	4	4	3.22	+	1.24	4.01E-01
amino acid export across plasma membrane (GO:0032973)	1	1	.80	+	1.24	5.53E-01
positive regulation of protein maturation (GO:1903319)	1	1	.80	+	1.24	5.53E-01
positive regulation of nitrogen cycle metabolic process (GO:1903316)	1	1	.80	+	1.24	5.53E-01
regulation of nitrogen cycle metabolic process (GO:1903314)	1	1	.80	+	1.24	5.53E-01
hydrogen peroxide metabolic process (GO:0042743)	7	7	5.63	+	1.24	3.34E-01
protein biotinylation (GO:0009305)	1	1	.80	+	1.24	5.53E-01
snRNA transcription (GO:0009301)	1	1	.80	+	1.24	5.53E-01
D-serine catabolic process (GO:0036088)	1	1	.80	+	1.24	5.53E-01
positive regulation of transcription from RNA polymerase II promoter in response to iron ion starvation (GO:0036086)	1	1	.80	+	1.24	5.53E-01
heme O biosynthetic process (GO:0048034)	1	1	.80	+	1.24	5.53E-01
heme o metabolic process (GO:0048033)	1	1	.80	+	1.24	5.53E-01
positive regulation of mRNA splicing, via spliceosome (GO:0048026)	1	1	.80	+	1.24	5.53E-01
negative regulation of mRNA splicing, via spliceosome (GO:0048025)	1	1	.80	+	1.24	5.53E-01
thiamine-containing compound catabolic process (GO:0042725)	1	1	.80	+	1.24	5.53E-01
inositol phosphate-mediated signaling (GO:0048016)	1	1	.80	+	1.24	5.53E-01
biofilm formation (GO:0042710)	4	4	3.22	+	1.24	4.01E-01
recruitment of mRNA capping enzyme to RNA polymerase II holoenzyme complex (GO:0036031)	1	1	.80	+	1.24	5.53E-01
protein localization to spindle microtubule (GO:1902889)	1	1	.80	+	1.24	5.53E-01
positive regulation of response to oxidative stress (GO:1902884)	2	2	1.61	+	1.24	4.78E-01
negative regulation of response to oxidative stress (GO:1902883)	1	1	.80	+	1.24	5.53E-01
regulation of response to oxidative stress (GO:1902882)	4	4	3.22	+	1.24	4.01E-01
phosphorylation of RNA polymerase II C-terminal domain serine 5 residues (GO:0071620)	1	1	.80	+	1.24	5.53E-01
microtubule organizing center localization (GO:0061842)	1	1	.80	+	1.24	5.53E-01
'de novo' pyridoxal 5'-phosphate biosynthetic process (GO:0036001)	1	1	.80	+	1.24	5.53E-01
sphingosine metabolic process (GO:0006670)	4	4	3.22	+	1.24	4.01E-01
phosphorylation of RNA polymerase II C-terminal domain serine 2 residues (GO:0071619)	1	1	.80	+	1.24	5.53E-01
posttranscriptional gene silencing (GO:0016441)	2	2	1.61	+	1.24	4.78E-01
glycerol ether metabolic process (GO:0006662)	2	2	1.61	+	1.24	4.78E-01
mitotic spindle formation (spindle phase one) (GO:0061804)	4	4	3.22	+	1.24	4.01E-01
unsaturated fatty acid biosynthetic process (GO:0006636)	1	1	.80	+	1.24	5.53E-01
SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition (GO:0006617)	2	2	1.61	+	1.24	4.78E-01
nucleotide salvage (GO:0043173)	14	14	11.26	+	1.24	2.43E-01
acetate ester metabolic process (GO:1900619)	2	2	1.61	+	1.24	4.78E-01
initial mitotic spindle pole body separation (GO:0000073)	4	4	3.22	+	1.24	4.01E-01
N-terminal peptidyl-proline methylation (GO:0035568)	1	1	.80	+	1.24	5.53E-01
putrescine biosynthetic process from ornithine (GO:0033387)	1	1	.80	+	1.24	5.53E-01
geranylgeranyl diphosphate biosynthetic process (GO:0033386)	1	1	.80	+	1.24	5.53E-01
geranylgeranyl diphosphate metabolic process (GO:0033385)	1	1	.80	+	1.24	5.53E-01
geranyl diphosphate biosynthetic process (GO:0033384)	2	2	1.61	+	1.24	4.78E-01
geranyl diphosphate metabolic process (GO:0033383)	2	2	1.61	+	1.24	4.78E-01
farnesyl diphosphate metabolic process (GO:0045338)	7	7	5.63	+	1.24	3.34E-01
protein initiator methionine removal involved in protein maturation (GO:0035551)	2	2	1.61	+	1.24	4.78E-01
pericentric heterochromatin organization (GO:0140462)	1	1	.80	+	1.24	5.53E-01
detection of misfolded protein (GO:0002236)	1	1	.80	+	1.24	5.53E-01
carnitine biosynthetic process (GO:0045329)	1	1	.80	+	1.24	5.53E-01
secretory granule organization (GO:0033363)	1	1	.80	+	1.24	5.53E-01
NAD transport (GO:0043132)	2	2	1.61	+	1.24	4.78E-01
proline transmembrane transport (GO:0035524)	4	4	3.22	+	1.24	4.01E-01
rRNA methylation (GO:0031167)	14	14	11.26	+	1.24	2.43E-01
regulation of G-quadruplex DNA binding (GO:1905493)	1	1	.80	+	1.24	5.53E-01
alpha-glucoside transport (GO:0000017)	1	1	.80	+	1.24	5.53E-01
hypoxanthine salvage (GO:0043103)	1	1	.80	+	1.24	5.53E-01
proteasome localization (GO:0031144)	2	2	1.61	+	1.24	4.78E-01
formate metabolic process (GO:0015942)	1	1	.80	+	1.24	5.53E-01
negative regulation of conjugation with cellular fusion (GO:0031138)	2	2	1.61	+	1.24	4.78E-01
negative regulation of conjugation (GO:0031135)	2	2	1.61	+	1.24	4.78E-01
coenzyme A catabolic process (GO:0015938)	1	1	.80	+	1.24	5.53E-01
negative regulation of DNA duplex unwinding (GO:1905463)	1	1	.80	+	1.24	5.53E-01
regulation of DNA duplex unwinding (GO:1905462)	1	1	.80	+	1.24	5.53E-01
mitotic G2 DNA damage checkpoint signaling (GO:0007095)	4	4	3.22	+	1.24	4.01E-01
snRNA pseudouridine synthesis (GO:0031120)	7	7	5.63	+	1.24	3.34E-01
regulation of DNA stability (GO:0097752)	2	2	1.61	+	1.24	4.78E-01
response to desiccation (GO:0009269)	2	2	1.61	+	1.24	4.78E-01
positive regulation of cytoplasmic translational elongation through polyproline stretches (GO:1903272)	1	1	.80	+	1.24	5.53E-01
regulation of cytoplasmic translational elongation through polyproline stretches (GO:1903270)	1	1	.80	+	1.24	5.53E-01
tRNA pseudouridine synthesis (GO:0031119)	7	7	5.63	+	1.24	3.34E-01
2'-deoxyribonucleotide biosynthetic process (GO:0009265)	4	4	3.22	+	1.24	4.01E-01
deoxyribonucleotide catabolic process (GO:0009264)	1	1	.80	+	1.24	5.53E-01
negative regulation of microtubule polymerization (GO:0031115)	1	1	.80	+	1.24	5.53E-01
membrane tubulation (GO:0097749)	2	2	1.61	+	1.24	4.78E-01
fatty-acyl-CoA transport (GO:0015916)	2	2	1.61	+	1.24	4.78E-01
mitotic morphogenesis checkpoint signaling (GO:0044879)	7	7	5.63	+	1.24	3.34E-01
long-chain fatty acid import into peroxisome (GO:0015910)	2	2	1.61	+	1.24	4.78E-01
acetate ester metabolic process involved in fermentation (GO:1901089)	2	2	1.61	+	1.24	4.78E-01
protein localization to mating projection tip (GO:1903260)	1	1	.80	+	1.24	5.53E-01
positive regulation of transcription involved in exit from mitosis, from RNA polymerase II promoter (GO:0007074)	1	1	.80	+	1.24	5.53E-01
positive regulation of transcription involved in exit from mitosis (GO:0007072)	1	1	.80	+	1.24	5.53E-01
beta-alanine transport (GO:0001762)	1	1	.80	+	1.24	5.53E-01
guanosine-containing compound catabolic process (GO:1901069)	2	2	1.61	+	1.24	4.78E-01
guanosine-containing compound metabolic process (GO:1901068)	2	2	1.61	+	1.24	4.78E-01
thiamine catabolic process (GO:0009230)	1	1	.80	+	1.24	5.53E-01
nucleotide-sugar biosynthetic process (GO:0009226)	8	8	6.43	+	1.24	3.17E-01
pyrimidine deoxyribonucleotide catabolic process (GO:0009223)	1	1	.80	+	1.24	5.53E-01
pyrimidine ribonucleotide catabolic process (GO:0009222)	1	1	.80	+	1.24	5.53E-01
pyrimidine deoxyribonucleotide biosynthetic process (GO:0009221)	4	4	3.22	+	1.24	4.01E-01
positive regulation of mitotic cohesin loading (GO:1905406)	1	1	.80	+	1.24	5.53E-01
regulation of mitotic cohesin loading (GO:1905405)	1	1	.80	+	1.24	5.53E-01
pyrimidine deoxyribonucleotide metabolic process (GO:0009219)	4	4	3.22	+	1.24	4.01E-01
quinolinic acid transmembrane transport (GO:1903222)	1	1	.80	+	1.24	5.53E-01
purine deoxyribonucleoside triphosphate catabolic process (GO:0009217)	2	2	1.61	+	1.24	4.78E-01
purine deoxyribonucleoside triphosphate metabolic process (GO:0009215)	2	2	1.61	+	1.24	4.78E-01
pyrimidine deoxyribonucleoside triphosphate catabolic process (GO:0009213)	2	2	1.61	+	1.24	4.78E-01
regulation of establishment or maintenance of cell polarity (GO:0032878)	7	7	5.63	+	1.24	3.34E-01
pyrimidine deoxyribonucleoside triphosphate biosynthetic process (GO:0009212)	2	2	1.61	+	1.24	4.78E-01
pyrimidine deoxyribonucleoside triphosphate metabolic process (GO:0009211)	4	4	3.22	+	1.24	4.01E-01
deoxyribonucleoside triphosphate catabolic process (GO:0009204)	2	2	1.61	+	1.24	4.78E-01
positive regulation of response to reactive oxygen species (GO:1901033)	1	1	.80	+	1.24	5.53E-01
negative regulation of response to reactive oxygen species (GO:1901032)	1	1	.80	+	1.24	5.53E-01
microtubule nucleation (GO:0007020)	4	4	3.22	+	1.24	4.01E-01
positive regulation of oxidative stress-induced cell death (GO:1903209)	1	1	.80	+	1.24	5.53E-01
negative regulation of hydrogen peroxide-induced cell death (GO:1903206)	1	1	.80	+	1.24	5.53E-01
negative regulation of oxidative stress-induced cell death (GO:1903202)	1	1	.80	+	1.24	5.53E-01
cellular response to water deprivation (GO:0042631)	2	2	1.61	+	1.24	4.78E-01
CAAX-box protein processing (GO:0071586)	2	2	1.61	+	1.24	4.78E-01
zinc ion import across plasma membrane (GO:0071578)	2	2	1.61	+	1.24	4.78E-01
histone H3-K56 deacetylation (GO:0071572)	1	1	.80	+	1.24	5.53E-01
negative regulation of response to salt stress (GO:1901001)	2	2	1.61	+	1.24	4.78E-01
regulation of response to salt stress (GO:1901000)	2	2	1.61	+	1.24	4.78E-01
glycine import into mitochondrion (GO:1904983)	2	2	1.61	+	1.24	4.78E-01
cellular phosphate ion homeostasis (GO:0030643)	1	1	.80	+	1.24	5.53E-01
regulation of nucleotide-excision repair (GO:2000819)	8	8	6.43	+	1.24	3.17E-01
regulation of mRNA stability involved in response to oxidative stress (GO:2000815)	4	4	3.22	+	1.24	4.01E-01
positive regulation of monopolar spindle attachment to meiosis I kinetochore (GO:1904968)	1	1	.80	+	1.24	5.53E-01
regulation of monopolar spindle attachment to meiosis I kinetochore (GO:1904967)	1	1	.80	+	1.24	5.53E-01
spermine biosynthetic process (GO:0006597)	2	2	1.61	+	1.24	4.78E-01
polyamine biosynthetic process (GO:0006596)	4	4	3.22	+	1.24	4.01E-01
polyamine metabolic process (GO:0006595)	7	7	5.63	+	1.24	3.34E-01
negative regulation of termination of RNA polymerase II transcription, poly(A)-coupled (GO:2000805)	1	1	.80	+	1.24	5.53E-01
regulation of termination of RNA polymerase II transcription, poly(A)-coupled (GO:2000804)	1	1	.80	+	1.24	5.53E-01
positive regulation of establishment of protein localization (GO:1904951)	8	8	6.43	+	1.24	3.17E-01
mitochondrial large ribosomal subunit assembly (GO:1902775)	1	1	.80	+	1.24	5.53E-01
positive regulation of telomerase activity (GO:0051973)	1	1	.80	+	1.24	5.53E-01
vesicle transport along microtubule (GO:0047496)	2	2	1.61	+	1.24	4.78E-01
amino-acid betaine biosynthetic process (GO:0006578)	1	1	.80	+	1.24	5.53E-01
valine catabolic process (GO:0006574)	2	2	1.61	+	1.24	4.78E-01
tyrosine biosynthetic process (GO:0006571)	4	4	3.22	+	1.24	4.01E-01
monovalent inorganic anion homeostasis (GO:0055083)	1	1	.80	+	1.24	5.53E-01
anion homeostasis (GO:0055081)	2	2	1.61	+	1.24	4.78E-01
regulation of response to osmotic stress (GO:0047484)	4	4	3.22	+	1.24	4.01E-01
protein lipidation involved in autophagosome assembly (GO:0061739)	1	1	.80	+	1.24	5.53E-01
proline catabolic process (GO:0006562)	2	2	1.61	+	1.24	4.78E-01
sodium ion homeostasis (GO:0055078)	2	2	1.61	+	1.24	4.78E-01
S-adenosylmethioninamine biosynthetic process (GO:0006557)	1	1	.80	+	1.24	5.53E-01
lysine catabolic process (GO:0006554)	1	1	.80	+	1.24	5.53E-01
isoleucine catabolic process (GO:0006550)	1	1	.80	+	1.24	5.53E-01
cobalt ion homeostasis (GO:0055068)	1	1	.80	+	1.24	5.53E-01
chloride ion homeostasis (GO:0055064)	1	1	.80	+	1.24	5.53E-01
phosphate ion homeostasis (GO:0055062)	1	1	.80	+	1.24	5.53E-01
