




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	upload_1 (Neurospora crassa)
Reference List:	neurospora_background.txt (Neurospora crassa)
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	neurospora_background.txt - REFLIST (9012)	upload_1 (2982)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
cellular detoxification of aldehyde (GO:0110095)	2	2	.66	+	3.02	1.43E-01
CENP-A containing chromatin organization (GO:0061641)	1	1	.33	+	3.02	2.82E-01
cellular response to hydrogen peroxide (GO:0070301)	1	1	.33	+	3.02	2.82E-01
L-arginine transmembrane import into vacuole (GO:0090518)	1	1	.33	+	3.02	2.82E-01
L-lysine transmembrane import into vacuole (GO:0090517)	1	1	.33	+	3.02	2.82E-01
L-serine transmembrane import into vacuole (GO:0090516)	1	1	.33	+	3.02	2.82E-01
L-glutamate transmembrane import into vacuole (GO:0090515)	1	1	.33	+	3.02	2.82E-01
L-tyrosine transmembrane import into vacuole (GO:0090514)	1	1	.33	+	3.02	2.82E-01
L-histidine transmembrane import into vacuole (GO:0090513)	1	1	.33	+	3.02	2.82E-01
metabolite repair (GO:0110051)	1	1	.33	+	3.02	2.82E-01
mannitol metabolic process (GO:0019594)	1	1	.33	+	3.02	2.82E-01
mannitol catabolic process (GO:0019592)	1	1	.33	+	3.02	2.82E-01
mitochondrial ADP transmembrane transport (GO:0140021)	1	1	.33	+	3.02	2.82E-01
purine nucleobase biosynthetic process (GO:0009113)	4	4	1.32	+	3.02	4.54E-02
anaerobic glycerol catabolic process (GO:0019588)	1	1	.33	+	3.02	2.82E-01
formaldehyde catabolic process (GO:0046294)	2	2	.66	+	3.02	1.43E-01
formaldehyde metabolic process (GO:0046292)	2	2	.66	+	3.02	1.43E-01
L-arabinose catabolic process (GO:0019572)	1	1	.33	+	3.02	2.82E-01
L-arabinose catabolic process to xylulose 5-phosphate (GO:0019569)	1	1	.33	+	3.02	2.82E-01
arabinose catabolic process (GO:0019568)	2	2	.66	+	3.02	1.43E-01
lignin catabolic process (GO:0046274)	2	2	.66	+	3.02	1.43E-01
phenylpropanoid catabolic process (GO:0046271)	2	2	.66	+	3.02	1.43E-01
regulation of translational initiation by eIF2 alpha phosphorylation (GO:0010998)	2	2	.66	+	3.02	1.43E-01
magnesium ion export from mitochondrion (GO:1990616)	1	1	.33	+	3.02	2.82E-01
arginine catabolic process to ornithine (GO:0019547)	1	1	.33	+	3.02	2.82E-01
arginine catabolic process to glutamate (GO:0019544)	1	1	.33	+	3.02	2.82E-01
3'-UTR-mediated mRNA stabilization (GO:0070935)	1	1	.33	+	3.02	2.82E-01
regulation of establishment or maintenance of bipolar cell polarity (GO:2000099)	1	1	.33	+	3.02	2.82E-01
hydroxymate-containing siderophore biosynthetic process (GO:0019539)	1	1	.33	+	3.02	2.82E-01
terpene biosynthetic process (GO:0046246)	1	1	.33	+	3.02	2.82E-01
acetoin biosynthetic process (GO:0045151)	1	1	.33	+	3.02	2.82E-01
acetoin metabolic process (GO:0045149)	1	1	.33	+	3.02	2.82E-01
attachment of GPI anchor to protein (GO:0016255)	5	5	1.65	+	3.02	2.68E-02
positive regulation of protein processing (GO:0010954)	1	1	.33	+	3.02	2.82E-01
response to organic cyclic compound (GO:0014070)	1	1	.33	+	3.02	2.82E-01
N-terminal protein myristoylation (GO:0006499)	1	1	.33	+	3.02	2.82E-01
N-terminal protein lipidation (GO:0006498)	1	1	.33	+	3.02	2.82E-01
mitochondrial tRNA thio-modification (GO:0070903)	1	1	.33	+	3.02	2.82E-01
cyanide catabolic process (GO:0019500)	1	1	.33	+	3.02	2.82E-01
dolichyl diphosphate biosynthetic process (GO:0006489)	1	1	.33	+	3.02	2.82E-01
negative regulation of protein kinase activity (GO:0006469)	4	4	1.32	+	3.02	4.54E-02
negative regulation of GTPase activity (GO:0034260)	1	1	.33	+	3.02	2.82E-01
translational frameshifting (GO:0006452)	2	2	.66	+	3.02	1.43E-01
histone H3-K9 demethylation (GO:0033169)	1	1	.33	+	3.02	2.82E-01
regulation of mating-type specific transcription, DNA-templated (GO:0007532)	1	1	.33	+	3.02	2.82E-01
response to cycloheximide (GO:0046898)	1	1	.33	+	3.02	2.82E-01
snoRNA splicing (GO:0034247)	2	2	.66	+	3.02	1.43E-01
negative regulation of protein localization to cell surface (GO:2000009)	1	1	.33	+	3.02	2.82E-01
regulation of protein localization to cell surface (GO:2000008)	1	1	.33	+	3.02	2.82E-01
glycyl-tRNA aminoacylation (GO:0006426)	1	1	.33	+	3.02	2.82E-01
positive regulation of protein dephosphorylation (GO:0035307)	1	1	.33	+	3.02	2.82E-01
positive regulation of dephosphorylation (GO:0035306)	1	1	.33	+	3.02	2.82E-01
quinolinate catabolic process (GO:0034213)	1	1	.33	+	3.02	2.82E-01
microtubule polymerization based movement (GO:0099098)	3	3	.99	+	3.02	7.89E-02
rRNA export from nucleus (GO:0006407)	3	3	.99	+	3.02	7.89E-02
glycolipid translocation (GO:0034203)	1	1	.33	+	3.02	2.82E-01
xylulose 5-phosphate metabolic process (GO:0051167)	1	1	.33	+	3.02	2.82E-01
negative regulation of DNA duplex unwinding (GO:1905463)	1	1	.33	+	3.02	2.82E-01
regulation of DNA duplex unwinding (GO:1905462)	1	1	.33	+	3.02	2.82E-01
glycolipid transport (GO:0046836)	1	1	.33	+	3.02	2.82E-01
positive regulation of RNA import into nucleus (GO:0046830)	1	1	.33	+	3.02	2.82E-01
regulation of RNA import into nucleus (GO:0046828)	1	1	.33	+	3.02	2.82E-01
regulation of translational initiation in response to stress (GO:0043558)	2	2	.66	+	3.02	1.43E-01
regulation of translation in response to stress (GO:0043555)	2	2	.66	+	3.02	1.43E-01
peptidyl-serine dephosphorylation (GO:0070262)	1	1	.33	+	3.02	2.82E-01
positive regulation of actin nucleation (GO:0051127)	1	1	.33	+	3.02	2.82E-01
peptidyl-threonine dephosphorylation (GO:0035970)	1	1	.33	+	3.02	2.82E-01
succinate transport (GO:0015744)	2	2	.66	+	3.02	1.43E-01
fumarate transport (GO:0015741)	1	1	.33	+	3.02	2.82E-01
purine nucleotide-sugar transmembrane transport (GO:0090480)	1	1	.33	+	3.02	2.82E-01
sucrose biosynthetic process (GO:0005986)	2	2	.66	+	3.02	1.43E-01
positive regulation of transcription by transcription factor localization (GO:0061586)	1	1	.33	+	3.02	2.82E-01
oxaloacetate transport (GO:0015729)	1	1	.33	+	3.02	2.82E-01
glutamate transmembrane import into vacuole (GO:0090454)	1	1	.33	+	3.02	2.82E-01
sulfide oxidation, using sulfide:quinone oxidoreductase (GO:0070221)	1	1	.33	+	3.02	2.82E-01
response to selenium ion (GO:0010269)	1	1	.33	+	3.02	2.82E-01
thiosulfate transport (GO:0015709)	1	1	.33	+	3.02	2.82E-01
chromate transport (GO:0015703)	1	1	.33	+	3.02	2.82E-01
positive regulation of histone H3-K9 acetylation (GO:2000617)	1	1	.33	+	3.02	2.82E-01
regulation of histone H3-K9 acetylation (GO:2000615)	1	1	.33	+	3.02	2.82E-01
RNA import into mitochondrion (GO:0035927)	1	1	.33	+	3.02	2.82E-01
positive regulation of Arp2/3 complex-mediated actin nucleation (GO:2000601)	1	1	.33	+	3.02	2.82E-01
box H/ACA RNA 3'-end processing (GO:0000495)	1	1	.33	+	3.02	2.82E-01
mitochondrial L-ornithine transmembrane transport (GO:1990575)	2	2	.66	+	3.02	1.43E-01
GDP-mannose transmembrane transport (GO:1990570)	1	1	.33	+	3.02	2.82E-01
UDP-N-acetylglucosamine transmembrane transport (GO:1990569)	1	1	.33	+	3.02	2.82E-01
mitochondrial tRNA wobble uridine modification (GO:0070899)	1	1	.33	+	3.02	2.82E-01
endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000461)	1	1	.33	+	3.02	2.82E-01
cyanide metabolic process (GO:0019499)	1	1	.33	+	3.02	2.82E-01
arginine catabolic process to proline (GO:0019493)	1	1	.33	+	3.02	2.82E-01
enzyme-directed rRNA 2'-O-methylation (GO:0000453)	1	1	.33	+	3.02	2.82E-01
rRNA 2'-O-methylation (GO:0000451)	1	1	.33	+	3.02	2.82E-01
mitochondrial ATP transmembrane transport (GO:1990544)	1	1	.33	+	3.02	2.82E-01
aldehyde catabolic process (GO:0046185)	5	5	1.65	+	3.02	2.68E-02
protein myristoylation (GO:0018377)	1	1	.33	+	3.02	2.82E-01
glycerol-3-phosphate catabolic process (GO:0046168)	1	1	.33	+	3.02	2.82E-01
glycerol-3-phosphate biosynthetic process (GO:0046167)	1	1	.33	+	3.02	2.82E-01
thiamine transmembrane transport (GO:0071934)	2	2	.66	+	3.02	1.43E-01
heme a metabolic process (GO:0046160)	3	3	.99	+	3.02	7.89E-02
phenylpropanoid metabolic process (GO:0009698)	2	2	.66	+	3.02	1.43E-01
negative regulation of protein serine/threonine kinase activity (GO:0071901)	1	1	.33	+	3.02	2.82E-01
endoplasmic reticulum inheritance (GO:0048309)	2	2	.66	+	3.02	1.43E-01
sulfide oxidation (GO:0019418)	1	1	.33	+	3.02	2.82E-01
polynucleotide 3' dephosphorylation (GO:0098506)	1	1	.33	+	3.02	2.82E-01
glycoside biosynthetic process (GO:0016138)	1	1	.33	+	3.02	2.82E-01
hypoxanthine metabolic process (GO:0046100)	1	1	.33	+	3.02	2.82E-01
sterol catabolic process (GO:0016127)	1	1	.33	+	3.02	2.82E-01
carotene biosynthetic process (GO:0016120)	1	1	.33	+	3.02	2.82E-01
positive regulation of mitochondrion organization (GO:0010822)	1	1	.33	+	3.02	2.82E-01
regulation of mitochondrion organization (GO:0010821)	2	2	.66	+	3.02	1.43E-01
diterpenoid biosynthetic process (GO:0016102)	1	1	.33	+	3.02	2.82E-01
diterpenoid metabolic process (GO:0016101)	1	1	.33	+	3.02	2.82E-01
DNA replication-dependent nucleosome assembly (GO:0006335)	2	2	.66	+	3.02	1.43E-01
negative regulation of helicase activity (GO:0051097)	1	1	.33	+	3.02	2.82E-01
positive regulation of developmental process (GO:0051094)	2	2	.66	+	3.02	1.43E-01
negative regulation of developmental process (GO:0051093)	1	1	.33	+	3.02	2.82E-01
central nervous system development (GO:0007417)	1	1	.33	+	3.02	2.82E-01
'de novo' cotranslational protein folding (GO:0051083)	2	2	.66	+	3.02	1.43E-01
apoptotic DNA fragmentation (GO:0006309)	1	1	.33	+	3.02	2.82E-01
tetrapyrrole catabolic process (GO:0033015)	1	1	.33	+	3.02	2.82E-01
cellular response to iron ion (GO:0071281)	1	1	.33	+	3.02	2.82E-01
copper ion import (GO:0015677)	3	3	.99	+	3.02	7.89E-02
positive regulation of ATP-dependent microtubule motor activity, plus-end-directed (GO:2000582)	1	1	.33	+	3.02	2.82E-01
regulation of ATP-dependent microtubule motor activity, plus-end-directed (GO:2000580)	1	1	.33	+	3.02	2.82E-01
positive regulation of microtubule motor activity (GO:2000576)	1	1	.33	+	3.02	2.82E-01
rRNA transport (GO:0051029)	3	3	.99	+	3.02	7.89E-02
cellular response to metal ion (GO:0071248)	1	1	.33	+	3.02	2.82E-01
ether metabolic process (GO:0018904)	1	1	.33	+	3.02	2.82E-01
mitochondrial glycyl-tRNA aminoacylation (GO:0070150)	1	1	.33	+	3.02	2.82E-01
negative regulation of kinase activity (GO:0033673)	4	4	1.32	+	3.02	4.54E-02
ER-dependent peroxisome organization (GO:0032581)	1	1	.33	+	3.02	2.82E-01
regulation of mating type switching (GO:0031494)	1	1	.33	+	3.02	2.82E-01
urea catabolic process (GO:0043419)	1	1	.33	+	3.02	2.82E-01
protein localization to lysosome (GO:0061462)	1	1	.33	+	3.02	2.82E-01
indole alkaloid biosynthetic process (GO:0035835)	1	1	.33	+	3.02	2.82E-01
indole alkaloid metabolic process (GO:0035834)	1	1	.33	+	3.02	2.82E-01
negative regulation of MAP kinase activity (GO:0043407)	1	1	.33	+	3.02	2.82E-01
positive regulation of formin-nucleated actin cable assembly (GO:0090338)	1	1	.33	+	3.02	2.82E-01
regulation of formin-nucleated actin cable assembly (GO:0090337)	1	1	.33	+	3.02	2.82E-01
histone H3-K79 methylation (GO:0034729)	1	1	.33	+	3.02	2.82E-01
cellular component disassembly involved in execution phase of apoptosis (GO:0006921)	1	1	.33	+	3.02	2.82E-01
DNA replication-dependent nucleosome organization (GO:0034723)	2	2	.66	+	3.02	1.43E-01
homogentisate catabolic process (GO:1902000)	1	1	.33	+	3.02	2.82E-01
pyrimidine ribonucleotide salvage (GO:0010138)	1	1	.33	+	3.02	2.82E-01
regulation of alternative mRNA splicing, via spliceosome (GO:0000381)	1	1	.33	+	3.02	2.82E-01
arginine catabolic process to proline via ornithine (GO:0010121)	1	1	.33	+	3.02	2.82E-01
guanine nucleotide transmembrane transport (GO:1903790)	1	1	.33	+	3.02	2.82E-01
multicellular organismal process (GO:0032501)	1	1	.33	+	3.02	2.82E-01
protein-FAD linkage (GO:0018293)	1	1	.33	+	3.02	2.82E-01
prenylcysteine metabolic process (GO:0030329)	1	1	.33	+	3.02	2.82E-01
prenylcysteine catabolic process (GO:0030328)	1	1	.33	+	3.02	2.82E-01
glycolipid catabolic process (GO:0019377)	1	1	.33	+	3.02	2.82E-01
iron incorporation into metallo-sulfur cluster (GO:0018283)	1	1	.33	+	3.02	2.82E-01
metal incorporation into metallo-sulfur cluster (GO:0018282)	1	1	.33	+	3.02	2.82E-01
adenine biosynthetic process (GO:0046084)	2	2	.66	+	3.02	1.43E-01
adenine metabolic process (GO:0046083)	3	3	.99	+	3.02	7.89E-02
iron import into the mitochondrion (GO:0048250)	1	1	.33	+	3.02	2.82E-01
dUDP metabolic process (GO:0046077)	1	1	.33	+	3.02	2.82E-01
dTDP metabolic process (GO:0046072)	1	1	.33	+	3.02	2.82E-01
cellular modified histidine biosynthetic process (GO:0052703)	2	2	.66	+	3.02	1.43E-01
cellular modified histidine metabolic process (GO:0052701)	2	2	.66	+	3.02	1.43E-01
guanine nucleotide transport (GO:0001408)	1	1	.33	+	3.02	2.82E-01
dCDP metabolic process (GO:0046062)	1	1	.33	+	3.02	2.82E-01
dipeptide transport (GO:0042938)	2	2	.66	+	3.02	1.43E-01
histone H3-K27 methylation (GO:0070734)	1	1	.33	+	3.02	2.82E-01
phenol-containing compound catabolic process (GO:0019336)	1	1	.33	+	3.02	2.82E-01
rRNA acetylation involved in maturation of SSU-rRNA (GO:1904812)	1	1	.33	+	3.02	2.82E-01
tail-anchored membrane protein insertion into ER membrane (GO:0071816)	1	1	.33	+	3.02	2.82E-01
hydrocarbon biosynthetic process (GO:0120251)	1	1	.33	+	3.02	2.82E-01
nervous system development (GO:0007399)	1	1	.33	+	3.02	2.82E-01
CTP metabolic process (GO:0046036)	3	3	.99	+	3.02	7.89E-02
ergothioneine biosynthesis from histidine via hercynylcysteine sulfoxide synthase (GO:0140479)	1	1	.33	+	3.02	2.82E-01
assembly of large subunit precursor of preribosome (GO:1902626)	6	6	1.99	+	3.02	1.60E-02
inositol catabolic process (GO:0019310)	1	1	.33	+	3.02	2.82E-01
nucleotide-excision repair, DNA incision, 3'-to lesion (GO:0006295)	1	1	.33	+	3.02	2.82E-01
nucleotide-excision repair, preincision complex assembly (GO:0006294)	1	1	.33	+	3.02	2.82E-01
thiamine pyrophosphate transmembrane transport (GO:0030974)	2	2	.66	+	3.02	1.43E-01
D-ribose catabolic process (GO:0019303)	1	1	.33	+	3.02	2.82E-01
7-methylguanosine cap hypermethylation (GO:0036261)	1	1	.33	+	3.02	2.82E-01
cellular response to alcohol (GO:0097306)	1	1	.33	+	3.02	2.82E-01
response to alcohol (GO:0097305)	1	1	.33	+	3.02	2.82E-01
CENP-A containing nucleosome assembly (GO:0034080)	1	1	.33	+	3.02	2.82E-01
tRNA import into mitochondrion (GO:0016031)	1	1	.33	+	3.02	2.82E-01
regulation of protein kinase A signaling (GO:0010738)	1	1	.33	+	3.02	2.82E-01
peptidyl-glycine modification (GO:0018201)	2	2	.66	+	3.02	1.43E-01
DNA replication termination (GO:0006274)	1	1	.33	+	3.02	2.82E-01
negative regulation of cell development (GO:0010721)	1	1	.33	+	3.02	2.82E-01
mitochondrial DNA replication (GO:0006264)	2	2	.66	+	3.02	1.43E-01
mitochondrial RNA 3'-end processing (GO:0000965)	1	1	.33	+	3.02	2.82E-01
CTP biosynthetic process (GO:0006241)	3	3	.99	+	3.02	7.89E-02
dCDP biosynthetic process (GO:0006240)	1	1	.33	+	3.02	2.82E-01
dTDP biosynthetic process (GO:0006233)	1	1	.33	+	3.02	2.82E-01
negative regulation of cell differentiation (GO:0045596)	1	1	.33	+	3.02	2.82E-01
dUDP biosynthetic process (GO:0006227)	1	1	.33	+	3.02	2.82E-01
response to antibiotic (GO:0046677)	2	2	.66	+	3.02	1.43E-01
septin ring assembly (GO:0000921)	1	1	.33	+	3.02	2.82E-01
mitotic spindle pole body duplication (GO:1903087)	1	1	.33	+	3.02	2.82E-01
site-specific DNA replication termination at RTS1 barrier (GO:0071171)	1	1	.33	+	3.02	2.82E-01
site-specific DNA replication termination (GO:0071170)	1	1	.33	+	3.02	2.82E-01
regulation of cAMP-dependent protein kinase activity (GO:2000479)	1	1	.33	+	3.02	2.82E-01
regulation of mitotic cell cycle spindle assembly checkpoint (GO:0090266)	1	1	.33	+	3.02	2.82E-01
neurogenesis (GO:0022008)	1	1	.33	+	3.02	2.82E-01
ergothioneine biosynthetic process (GO:0052699)	2	2	.66	+	3.02	1.43E-01
ergothioneine metabolic process (GO:0052698)	2	2	.66	+	3.02	1.43E-01
water transport (GO:0006833)	1	1	.33	+	3.02	2.82E-01
methylglyoxal catabolic process (GO:0051596)	2	2	.66	+	3.02	1.43E-01
snRNA modification (GO:0040031)	3	3	.99	+	3.02	7.89E-02
regulation of spindle checkpoint (GO:0090231)	1	1	.33	+	3.02	2.82E-01
positive regulation of protein deubiquitination (GO:1903003)	1	1	.33	+	3.02	2.82E-01
apoptotic nuclear changes (GO:0030262)	1	1	.33	+	3.02	2.82E-01
response to iron ion (GO:0010039)	1	1	.33	+	3.02	2.82E-01
histone H2B ubiquitination (GO:0033523)	1	1	.33	+	3.02	2.82E-01
endoplasmic reticulum tubular network maintenance (GO:0071788)	1	1	.33	+	3.02	2.82E-01
positive regulation of nuclear-transcribed mRNA poly(A) tail shortening (GO:0060213)	1	1	.33	+	3.02	2.82E-01
XMP biosynthetic process (GO:0097293)	1	1	.33	+	3.02	2.82E-01
XMP metabolic process (GO:0097292)	1	1	.33	+	3.02	2.82E-01
negative regulation of asexual reproduction (GO:1903665)	1	1	.33	+	3.02	2.82E-01
protein localization to nucleolus (GO:1902570)	1	1	.33	+	3.02	2.82E-01
L-lysine import into vacuole involved in cellular response to nitrogen starvation (GO:1901482)	1	1	.33	+	3.02	2.82E-01
L-glutamate import involved in cellular response to nitrogen starvation (GO:1901481)	1	1	.33	+	3.02	2.82E-01
glycine biosynthetic process, by transamination of glyoxylate (GO:0019265)	1	1	.33	+	3.02	2.82E-01
activation of bipolar cell growth (GO:0051519)	1	1	.33	+	3.02	2.82E-01
positive regulation of bipolar cell growth (GO:0051518)	1	1	.33	+	3.02	2.82E-01
regulation of bipolar cell growth (GO:0051516)	1	1	.33	+	3.02	2.82E-01
positive regulation of unidimensional cell growth (GO:0051512)	1	1	.33	+	3.02	2.82E-01
regulation of unidimensional cell growth (GO:0051510)	1	1	.33	+	3.02	2.82E-01
negative regulation of sporulation (GO:0043939)	1	1	.33	+	3.02	2.82E-01
lactate biosynthetic process (GO:0019249)	1	1	.33	+	3.02	2.82E-01
methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione (GO:0019243)	1	1	.33	+	3.02	2.82E-01
spinal cord motor neuron differentiation (GO:0021522)	1	1	.33	+	3.02	2.82E-01
spinal cord motor neuron cell fate specification (GO:0021520)	1	1	.33	+	3.02	2.82E-01
spindle pole body localization (GO:0070631)	1	1	.33	+	3.02	2.82E-01
ventral spinal cord development (GO:0021517)	1	1	.33	+	3.02	2.82E-01
cell differentiation in spinal cord (GO:0021515)	1	1	.33	+	3.02	2.82E-01
spinal cord development (GO:0021510)	1	1	.33	+	3.02	2.82E-01
nucleic acid-protein covalent cross-linking (GO:0018143)	1	1	.33	+	3.02	2.82E-01
protein-DNA covalent cross-linking (GO:0018142)	1	1	.33	+	3.02	2.82E-01
regulation of protein processing (GO:0070613)	1	1	.33	+	3.02	2.82E-01
multicellular organism development (GO:0007275)	1	1	.33	+	3.02	2.82E-01
GTP biosynthetic process (GO:0006183)	2	2	.66	+	3.02	1.43E-01
pyridoxal 5'-phosphate salvage (GO:0009443)	1	1	.33	+	3.02	2.82E-01
positive regulation of mitochondrial fusion (GO:0010636)	1	1	.33	+	3.02	2.82E-01
regulation of mitochondrial fusion (GO:0010635)	1	1	.33	+	3.02	2.82E-01
cyanate metabolic process (GO:0009439)	1	1	.33	+	3.02	2.82E-01
methylglyoxal metabolic process (GO:0009438)	2	2	.66	+	3.02	1.43E-01
glyoxylate catabolic process (GO:0009436)	1	1	.33	+	3.02	2.82E-01
cytoplasm to vacuole transport by the NVT pathway (GO:0120113)	2	2	.66	+	3.02	1.43E-01
phosphatidylinositol acyl-chain remodeling (GO:0036149)	1	1	.33	+	3.02	2.82E-01
adenine salvage (GO:0006168)	1	1	.33	+	3.02	2.82E-01
mitochondria-nucleus signaling pathway (GO:0031930)	1	1	.33	+	3.02	2.82E-01
endosome to lysosome transport (GO:0008333)	1	1	.33	+	3.02	2.82E-01
osmosensory signaling via phosphorelay pathway (GO:0007234)	2	2	.66	+	3.02	1.43E-01
adenine catabolic process (GO:0006146)	1	1	.33	+	3.02	2.82E-01
regulation of Rho protein signal transduction (GO:0035023)	1	1	.33	+	3.02	2.82E-01
serine import into mitochondrion (GO:0140300)	1	1	.33	+	3.02	2.82E-01
protein arginylation (GO:0016598)	1	1	.33	+	3.02	2.82E-01
NADH oxidation (GO:0006116)	1	1	.33	+	3.02	2.82E-01
system development (GO:0048731)	1	1	.33	+	3.02	2.82E-01
succinyl-CoA metabolic process (GO:0006104)	1	1	.33	+	3.02	2.82E-01
formate catabolic process (GO:0042183)	1	1	.33	+	3.02	2.82E-01
sphingoid catabolic process (GO:0046521)	1	1	.33	+	3.02	2.82E-01
heme oxidation (GO:0006788)	1	1	.33	+	3.02	2.82E-01
porphyrin-containing compound catabolic process (GO:0006787)	1	1	.33	+	3.02	2.82E-01
ceramide catabolic process (GO:0046514)	4	4	1.32	+	3.02	4.54E-02
heme A biosynthetic process (GO:0006784)	3	3	.99	+	3.02	7.89E-02
biotin import across plasma membrane (GO:1905135)	1	1	.33	+	3.02	2.82E-01
