




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	human_background.txt (Homo sapiens)
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	human_background.txt - REFLIST (16250)	upload_1 (1959)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
protein deglycation, methylglyoxal removal (GO:0036530)	1	1	.12	+	8.30	1.14E-01
protein deglycation, glyoxal removal (GO:0036529)	1	1	.12	+	8.30	1.14E-01
peptidyl-lysine deglycation (GO:0036528)	1	1	.12	+	8.30	1.14E-01
peptidyl-arginine deglycation (GO:0036527)	1	1	.12	+	8.30	1.14E-01
peptidyl-cysteine deglycation (GO:0036526)	1	1	.12	+	8.30	1.14E-01
regulation of carbohydrate phosphatase activity (GO:0032113)	1	1	.12	+	8.30	1.14E-01
fibronectin fibril organization (GO:1905590)	1	1	.12	+	8.30	1.14E-01
outer hair cell apoptotic process (GO:1905584)	1	1	.12	+	8.30	1.14E-01
positive regulation of ERBB3 signaling pathway (GO:1905580)	1	1	.12	+	8.30	1.14E-01
regulation of ERBB3 signaling pathway (GO:1905578)	1	1	.12	+	8.30	1.14E-01
positive regulation of subtelomeric heterochromatin assembly (GO:1905549)	1	1	.12	+	8.30	1.14E-01
regulation of subtelomeric heterochromatin assembly (GO:1905547)	1	1	.12	+	8.30	1.14E-01
positive regulation of abscisic acid-activated signaling pathway (GO:0009789)	1	1	.12	+	8.30	1.14E-01
regulation of abscisic acid-activated signaling pathway (GO:0009787)	1	1	.12	+	8.30	1.14E-01
ncRNA polyadenylation involved in polyadenylation-dependent ncRNA catabolic process (GO:0043630)	1	1	.12	+	8.30	1.14E-01
ncRNA polyadenylation (GO:0043629)	1	1	.12	+	8.30	1.14E-01
detoxification of mercury ion (GO:0050787)	2	2	.24	+	8.30	2.48E-02
positive regulation of bile acid secretion (GO:0120189)	1	1	.12	+	8.30	1.14E-01
cellular response to glyoxal (GO:0036471)	1	1	.12	+	8.30	1.14E-01
response to zinc ion starvation (GO:0120127)	1	1	.12	+	8.30	1.14E-01
response to copper ion starvation (GO:0120126)	1	1	.12	+	8.30	1.14E-01
T cell meandering migration (GO:0120117)	1	1	.12	+	8.30	1.14E-01
positive regulation of lymphoid progenitor cell differentiation (GO:1905458)	2	2	.24	+	8.30	2.48E-02
ethylene metabolic process (GO:0009692)	1	1	.12	+	8.30	1.14E-01
benzylpenicillin metabolic process (GO:1901086)	1	1	.12	+	8.30	1.14E-01
regulation of dense core granule exocytosis (GO:1905413)	1	1	.12	+	8.30	1.14E-01
pericentric heterochromatin assembly (GO:0031508)	2	2	.24	+	8.30	2.48E-02
positive regulation of viral translation (GO:1904973)	1	1	.12	+	8.30	1.14E-01
regulation of viral translation (GO:1904971)	1	1	.12	+	8.30	1.14E-01
positive regulation of urothelial cell proliferation (GO:0050677)	1	1	.12	+	8.30	1.14E-01
regulation of urothelial cell proliferation (GO:0050675)	1	1	.12	+	8.30	1.14E-01
urothelial cell proliferation (GO:0050674)	1	1	.12	+	8.30	1.14E-01
microtubule polymerization based movement (GO:0099098)	1	1	.12	+	8.30	1.14E-01
cell adhesion involved in sprouting angiogenesis (GO:0120078)	1	1	.12	+	8.30	1.14E-01
angiogenic sprout fusion (GO:0120077)	1	1	.12	+	8.30	1.14E-01
positive regulation of mesodermal cell fate specification (GO:0048337)	1	1	.12	+	8.30	1.14E-01
platelet maturation (GO:0036345)	1	1	.12	+	8.30	1.14E-01
negative regulation of establishment of protein-containing complex localization to telomere (GO:1904914)	1	1	.12	+	8.30	1.14E-01
regulation of establishment of protein-containing complex localization to telomere (GO:1904913)	1	1	.12	+	8.30	1.14E-01
negative regulation of establishment of RNA localization to telomere (GO:1904911)	1	1	.12	+	8.30	1.14E-01
regulation of establishment of RNA localization to telomere (GO:1904910)	1	1	.12	+	8.30	1.14E-01
cellular response to copper ion starvation (GO:0035874)	1	1	.12	+	8.30	1.14E-01
learned vocalization behavior (GO:0098583)	1	1	.12	+	8.30	1.14E-01
chromosome passenger complex localization to spindle midzone (GO:0035853)	1	1	.12	+	8.30	1.14E-01
negative regulation of calcium-independent cell-cell adhesion (GO:0051042)	1	1	.12	+	8.30	1.14E-01
tracheoesophageal septum formation (GO:1905327)	1	1	.12	+	8.30	1.14E-01
positive regulation of mRNA cleavage (GO:0031439)	1	1	.12	+	8.30	1.14E-01
regulation of mRNA cleavage (GO:0031437)	1	1	.12	+	8.30	1.14E-01
isotype switching to IgG isotypes (GO:0048291)	1	1	.12	+	8.30	1.14E-01
positive regulation of excitatory synapse assembly (GO:1904891)	2	2	.24	+	8.30	2.48E-02
mitochondrial glycyl-tRNA aminoacylation (GO:0070150)	1	1	.12	+	8.30	1.14E-01
protein trans-autophosphorylation (GO:0036290)	1	1	.12	+	8.30	1.14E-01
negative regulation of establishment of protein localization to telomere (GO:1904850)	1	1	.12	+	8.30	1.14E-01
regulation of diacylglycerol biosynthetic process (GO:1900480)	1	1	.12	+	8.30	1.14E-01
swimming (GO:0036268)	1	1	.12	+	8.30	1.14E-01
response to methylamine (GO:0036255)	1	1	.12	+	8.30	1.14E-01
negative regulation of protein localization to chromosome, telomeric region (GO:1904815)	1	1	.12	+	8.30	1.14E-01
protein splicing (GO:0030908)	1	1	.12	+	8.30	1.14E-01
nuclear-transcribed mRNA catabolic process, endonucleolytic cleavage-dependent decay (GO:0000294)	2	2	.24	+	8.30	2.48E-02
mature natural killer cell chemotaxis (GO:0035782)	1	1	.12	+	8.30	1.14E-01
negative regulation of memory T cell differentiation (GO:0043381)	2	2	.24	+	8.30	2.48E-02
nitric oxide storage (GO:0035732)	1	1	.12	+	8.30	1.14E-01
cellular response to 3,3',5-triiodo-L-thyronine (GO:1905243)	2	2	.24	+	8.30	2.48E-02
pyruvate oxidation (GO:0009444)	1	1	.12	+	8.30	1.14E-01
glucagon secretion (GO:0070091)	1	1	.12	+	8.30	1.14E-01
positive regulation of shelterin complex assembly (GO:1904792)	1	1	.12	+	8.30	1.14E-01
regulation of shelterin complex assembly (GO:1904790)	1	1	.12	+	8.30	1.14E-01
protein-tetrapyrrole linkage (GO:0017006)	1	1	.12	+	8.30	1.14E-01
protein-heme linkage (GO:0017003)	1	1	.12	+	8.30	1.14E-01
mRNA splicing, via endonucleolytic cleavage and ligation (GO:0070054)	1	1	.12	+	8.30	1.14E-01
positive regulation of myofibroblast differentiation (GO:1904762)	1	1	.12	+	8.30	1.14E-01
triglyceride acyl-chain remodeling (GO:0036153)	1	1	.12	+	8.30	1.14E-01
intein-mediated protein splicing (GO:0016539)	1	1	.12	+	8.30	1.14E-01
mitophagy by induced vacuole formation (GO:0035695)	1	1	.12	+	8.30	1.14E-01
