




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	upload_1 (Synechocystis)
Reference List:	cyano_background_go.txt (Synechocystis)
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	cyano_background_go.txt - REFLIST (568)	upload_1 (144)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
protein methylation (GO:0006479)	1	1	.25	+	3.94	2.24E-01
regulation of translational elongation (GO:0006448)	1	1	.25	+	3.94	2.24E-01
pyridoxine biosynthetic process (GO:0008615)	2	2	.51	+	3.94	9.21E-02
pyridoxine metabolic process (GO:0008614)	2	2	.51	+	3.94	9.21E-02
aldehyde catabolic process (GO:0046185)	1	1	.25	+	3.94	2.24E-01
tryptophanyl-tRNA aminoacylation (GO:0006436)	1	1	.25	+	3.94	2.24E-01
poly(hydroxyalkanoate) biosynthetic process (GO:1901441)	1	1	.25	+	3.94	2.24E-01
poly(hydroxyalkanoate) metabolic process (GO:1901440)	1	1	.25	+	3.94	2.24E-01
heme oxidation (GO:0006788)	1	1	.25	+	3.94	2.24E-01
porphyrin-containing compound catabolic process (GO:0006787)	1	1	.25	+	3.94	2.24E-01
asparaginyl-tRNA aminoacylation (GO:0006421)	1	1	.25	+	3.94	2.24E-01
regulation of translation (GO:0006417)	1	1	.25	+	3.94	2.24E-01
mRNA catabolic process (GO:0006402)	1	1	.25	+	3.94	2.24E-01
pigment catabolic process (GO:0046149)	1	1	.25	+	3.94	2.24E-01
tricarboxylic acid metabolic process (GO:0072350)	1	1	.25	+	3.94	2.24E-01
purine ribonucleoside biosynthetic process (GO:0046129)	1	1	.25	+	3.94	2.24E-01
purine ribonucleoside metabolic process (GO:0046128)	1	1	.25	+	3.94	2.24E-01
NADH regeneration (GO:0006735)	1	1	.25	+	3.94	2.24E-01
NADH metabolic process (GO:0006734)	1	1	.25	+	3.94	2.24E-01
nucleobase catabolic process (GO:0046113)	1	1	.25	+	3.94	2.24E-01
thiosulfate transport (GO:0015709)	1	1	.25	+	3.94	2.24E-01
chromate transport (GO:0015703)	1	1	.25	+	3.94	2.24E-01
sucrose biosynthetic process (GO:0005986)	1	1	.25	+	3.94	2.24E-01
sucrose metabolic process (GO:0005985)	1	1	.25	+	3.94	2.24E-01
disaccharide metabolic process (GO:0005984)	1	1	.25	+	3.94	2.24E-01
'de novo' cotranslational protein folding (GO:0051083)	1	1	.25	+	3.94	2.24E-01
nucleoside salvage (GO:0043174)	1	1	.25	+	3.94	2.24E-01
nucleotide salvage (GO:0043173)	1	1	.25	+	3.94	2.24E-01
glutamine family amino acid catabolic process (GO:0009065)	1	1	.25	+	3.94	2.24E-01
2'-deoxyribonucleotide metabolic process (GO:0009394)	1	1	.25	+	3.94	2.24E-01
mRNA pseudouridine synthesis (GO:1990481)	1	1	.25	+	3.94	2.24E-01
AMP salvage (GO:0044209)	1	1	.25	+	3.94	2.24E-01
spermidine biosynthetic process (GO:0008295)	1	1	.25	+	3.94	2.24E-01
purine-containing compound salvage (GO:0043101)	1	1	.25	+	3.94	2.24E-01
putrescine biosynthetic process from arginine (GO:0033388)	1	1	.25	+	3.94	2.24E-01
lactate metabolic process (GO:0006089)	2	2	.51	+	3.94	9.21E-02
acetyl-CoA biosynthetic process (GO:0006085)	1	1	.25	+	3.94	2.24E-01
acetyl-CoA metabolic process (GO:0006084)	1	1	.25	+	3.94	2.24E-01
tetrapyrrole catabolic process (GO:0033015)	1	1	.25	+	3.94	2.24E-01
lipid oxidation (GO:0034440)	1	1	.25	+	3.94	2.24E-01
nitrogen utilization (GO:0019740)	1	1	.25	+	3.94	2.24E-01
negative regulation of cellular protein metabolic process (GO:0032269)	1	1	.25	+	3.94	2.24E-01
purine nucleotide salvage (GO:0032261)	1	1	.25	+	3.94	2.24E-01
methylglyoxal catabolic process to lactate (GO:0061727)	1	1	.25	+	3.94	2.24E-01
UDP-N-acetylglucosamine biosynthetic process (GO:0006048)	1	1	.25	+	3.94	2.24E-01
spermidine metabolic process (GO:0008216)	1	1	.25	+	3.94	2.24E-01
glucose catabolic process to pyruvate (GO:0061718)	1	1	.25	+	3.94	2.24E-01
protein alkylation (GO:0008213)	1	1	.25	+	3.94	2.24E-01
negative regulation of translational elongation (GO:0045900)	1	1	.25	+	3.94	2.24E-01
glucose catabolic process (GO:0006007)	1	1	.25	+	3.94	2.24E-01
DNA-templated transcription, elongation (GO:0006354)	1	1	.25	+	3.94	2.24E-01
fructose 1,6-bisphosphate metabolic process (GO:0030388)	1	1	.25	+	3.94	2.24E-01
poly-hydroxybutyrate biosynthetic process (GO:0042619)	1	1	.25	+	3.94	2.24E-01
poly-hydroxybutyrate metabolic process (GO:0042618)	1	1	.25	+	3.94	2.24E-01
dUDP metabolic process (GO:0046077)	1	1	.25	+	3.94	2.24E-01
dTTP metabolic process (GO:0046075)	1	1	.25	+	3.94	2.24E-01
dTDP metabolic process (GO:0046072)	1	1	.25	+	3.94	2.24E-01
deoxyribose phosphate biosynthetic process (GO:0046385)	1	1	.25	+	3.94	2.24E-01
carbon utilization (GO:0015976)	1	1	.25	+	3.94	2.24E-01
fatty acid beta-oxidation (GO:0006635)	1	1	.25	+	3.94	2.24E-01
monosaccharide catabolic process (GO:0046365)	1	1	.25	+	3.94	2.24E-01
purine nucleobase salvage (GO:0043096)	1	1	.25	+	3.94	2.24E-01
cellular metabolic compound salvage (GO:0043094)	2	2	.51	+	3.94	9.21E-02
disaccharide biosynthetic process (GO:0046351)	1	1	.25	+	3.94	2.24E-01
amino sugar biosynthetic process (GO:0046349)	2	2	.51	+	3.94	9.21E-02
RNA phosphodiester bond hydrolysis, exonucleolytic (GO:0090503)	1	1	.25	+	3.94	2.24E-01
sulfate assimilation via adenylyl sulfate reduction (GO:0010134)	1	1	.25	+	3.94	2.24E-01
fatty acid oxidation (GO:0019395)	1	1	.25	+	3.94	2.24E-01
argininosuccinate metabolic process (GO:0000053)	1	1	.25	+	3.94	2.24E-01
citrulline metabolic process (GO:0000052)	1	1	.25	+	3.94	2.24E-01
urea cycle (GO:0000050)	1	1	.25	+	3.94	2.24E-01
mRNA metabolic process (GO:0016071)	2	2	.51	+	3.94	9.21E-02
protein dehydration (GO:0018249)	1	1	.25	+	3.94	2.24E-01
2'-deoxyribonucleotide biosynthetic process (GO:0009265)	1	1	.25	+	3.94	2.24E-01
deoxyribonucleotide biosynthetic process (GO:0009263)	1	1	.25	+	3.94	2.24E-01
purine nucleoside metabolic process (GO:0042278)	1	1	.25	+	3.94	2.24E-01
hexose catabolic process (GO:0019320)	1	1	.25	+	3.94	2.24E-01
negative regulation of protein metabolic process (GO:0051248)	1	1	.25	+	3.94	2.24E-01
negative regulation of translation (GO:0017148)	1	1	.25	+	3.94	2.24E-01
NAD metabolic process (GO:0019674)	1	1	.25	+	3.94	2.24E-01
methylglyoxal catabolic process (GO:0051596)	1	1	.25	+	3.94	2.24E-01
protein unfolding (GO:0043335)	1	1	.25	+	3.94	2.24E-01
pyrimidine deoxyribonucleotide biosynthetic process (GO:0009221)	1	1	.25	+	3.94	2.24E-01
pyrimidine deoxyribonucleotide metabolic process (GO:0009219)	1	1	.25	+	3.94	2.24E-01
phytochromobilin metabolic process (GO:0051202)	1	1	.25	+	3.94	2.24E-01
pyrimidine deoxyribonucleoside triphosphate biosynthetic process (GO:0009212)	1	1	.25	+	3.94	2.24E-01
pyrimidine deoxyribonucleoside triphosphate metabolic process (GO:0009211)	1	1	.25	+	3.94	2.24E-01
canonical glycolysis (GO:0061621)	1	1	.25	+	3.94	2.24E-01
glycolytic process through glucose-6-phosphate (GO:0061620)	1	1	.25	+	3.94	2.24E-01
deoxyribonucleoside triphosphate biosynthetic process (GO:0009202)	1	1	.25	+	3.94	2.24E-01
deoxyribonucleoside triphosphate metabolic process (GO:0009200)	1	1	.25	+	3.94	2.24E-01
urea metabolic process (GO:0019627)	1	1	.25	+	3.94	2.24E-01
glycolytic process through fructose-6-phosphate (GO:0061615)	1	1	.25	+	3.94	2.24E-01
DNA strand elongation involved in DNA replication (GO:0006271)	1	1	.25	+	3.94	2.24E-01
lactate catabolic process (GO:1903457)	1	1	.25	+	3.94	2.24E-01
dTTP biosynthetic process (GO:0006235)	1	1	.25	+	3.94	2.24E-01
polyamine biosynthetic process (GO:0006596)	1	1	.25	+	3.94	2.24E-01
dTDP biosynthetic process (GO:0006233)	1	1	.25	+	3.94	2.24E-01
polyamine metabolic process (GO:0006595)	1	1	.25	+	3.94	2.24E-01
photorespiration (GO:0009853)	1	1	.25	+	3.94	2.24E-01
dUDP biosynthetic process (GO:0006227)	1	1	.25	+	3.94	2.24E-01
regulation of DNA-templated transcription, elongation (GO:0032784)	1	1	.25	+	3.94	2.24E-01
cytosine catabolic process (GO:0006209)	1	1	.25	+	3.94	2.24E-01
pyrimidine nucleobase catabolic process (GO:0006208)	1	1	.25	+	3.94	2.24E-01
L-serine biosynthetic process (GO:0006564)	1	1	.25	+	3.94	2.24E-01
pyridoxal phosphate biosynthetic process (GO:0042823)	1	1	.25	+	3.94	2.24E-01
pyridoxal phosphate metabolic process (GO:0042822)	1	1	.25	+	3.94	2.24E-01
cobalamin transport (GO:0015889)	1	1	.25	+	3.94	2.24E-01
vitamin B6 biosynthetic process (GO:0042819)	2	2	.51	+	3.94	9.21E-02
glutamine biosynthetic process (GO:0006542)	1	1	.25	+	3.94	2.24E-01
vitamin B6 metabolic process (GO:0042816)	2	2	.51	+	3.94	9.21E-02
arginine catabolic process (GO:0006527)	1	1	.25	+	3.94	2.24E-01
phytochromobilin biosynthetic process (GO:0010024)	1	1	.25	+	3.94	2.24E-01
DNA strand elongation (GO:0022616)	1	1	.25	+	3.94	2.24E-01
UDP-N-acetylgalactosamine biosynthetic process (GO:0019277)	1	1	.25	+	3.94	2.24E-01
UDP-N-acetylgalactosamine metabolic process (GO:0019276)	1	1	.25	+	3.94	2.24E-01
pyrimidine ribonucleoside monophosphate biosynthetic process (GO:0009174)	4	3	1.01	+	2.96	8.23E-02
pyrimidine nucleoside monophosphate biosynthetic process (GO:0009130)	4	3	1.01	+	2.96	8.23E-02
'de novo' UMP biosynthetic process (GO:0044205)	4	3	1.01	+	2.96	8.23E-02
UMP biosynthetic process (GO:0006222)	4	3	1.01	+	2.96	8.23E-02
'de novo' pyrimidine nucleobase biosynthetic process (GO:0006207)	4	3	1.01	+	2.96	8.23E-02
regulation of protein-containing complex disassembly (GO:0043244)	3	2	.76	+	2.63	1.77E-01
arginine biosynthetic process via ornithine (GO:0042450)	3	2	.76	+	2.63	1.77E-01
transcription antitermination (GO:0031564)	3	2	.76	+	2.63	1.77E-01
regulation of DNA-templated transcription, termination (GO:0031554)	3	2	.76	+	2.63	1.77E-01
amino sugar metabolic process (GO:0006040)	3	2	.76	+	2.63	1.77E-01
DNA-templated transcription, termination (GO:0006353)	3	2	.76	+	2.63	1.77E-01
nucleotide-sugar biosynthetic process (GO:0009226)	3	2	.76	+	2.63	1.77E-01
nucleotide-excision repair (GO:0006289)	3	2	.76	+	2.63	1.77E-01
dephosphorylation (GO:0016311)	3	2	.76	+	2.63	1.77E-01
pyrimidine nucleobase metabolic process (GO:0006206)	6	4	1.52	+	2.63	6.73E-02
arginine metabolic process (GO:0006525)	8	5	2.03	+	2.47	5.39E-02
pyrimidine ribonucleoside monophosphate metabolic process (GO:0009173)	5	3	1.27	+	2.37	1.35E-01
pyrimidine nucleoside monophosphate metabolic process (GO:0009129)	5	3	1.27	+	2.37	1.35E-01
pyrimidine nucleobase biosynthetic process (GO:0019856)	5	3	1.27	+	2.37	1.35E-01
translational elongation (GO:0006414)	5	3	1.27	+	2.37	1.35E-01
UMP metabolic process (GO:0046049)	5	3	1.27	+	2.37	1.35E-01
protoporphyrinogen IX metabolic process (GO:0046501)	7	4	1.77	+	2.25	1.03E-01
protoporphyrinogen IX biosynthetic process (GO:0006782)	7	4	1.77	+	2.25	1.03E-01
pyrimidine nucleotide biosynthetic process (GO:0006221)	7	4	1.77	+	2.25	1.03E-01
arginine biosynthetic process (GO:0006526)	7	4	1.77	+	2.25	1.03E-01
carbon fixation (GO:0015977)	9	5	2.28	+	2.19	8.00E-02
prosthetic group metabolic process (GO:0051189)	2	1	.51	+	1.97	3.98E-01
reductive pentose-phosphate cycle (GO:0019253)	2	1	.51	+	1.97	3.98E-01
quinolinate metabolic process (GO:0046874)	2	1	.51	+	1.97	3.98E-01
pyrimidine nucleoside diphosphate biosynthetic process (GO:0009139)	2	1	.51	+	1.97	3.98E-01
pyrimidine nucleoside diphosphate metabolic process (GO:0009138)	2	1	.51	+	1.97	3.98E-01
nucleoside diphosphate biosynthetic process (GO:0009133)	2	1	.51	+	1.97	3.98E-01
negative regulation of macromolecule metabolic process (GO:0010605)	4	2	1.01	+	1.97	2.69E-01
molybdopterin cofactor metabolic process (GO:0043545)	2	1	.51	+	1.97	3.98E-01
DNA geometric change (GO:0032392)	6	3	1.52	+	1.97	1.96E-01
hydrogen sulfide biosynthetic process (GO:0070814)	2	1	.51	+	1.97	3.98E-01
hydrogen sulfide metabolic process (GO:0070813)	2	1	.51	+	1.97	3.98E-01
cellular biogenic amine biosynthetic process (GO:0042401)	8	4	2.03	+	1.97	1.47E-01
carbohydrate transport (GO:0008643)	2	1	.51	+	1.97	3.98E-01
'de novo' protein folding (GO:0006458)	2	1	.51	+	1.97	3.98E-01
aldehyde biosynthetic process (GO:0046184)	2	1	.51	+	1.97	3.98E-01
phenylalanyl-tRNA aminoacylation (GO:0006432)	2	1	.51	+	1.97	3.98E-01
glycyl-tRNA aminoacylation (GO:0006426)	2	1	.51	+	1.97	3.98E-01
arginyl-tRNA aminoacylation (GO:0006420)	2	1	.51	+	1.97	3.98E-01
Mo-molybdopterin cofactor biosynthetic process (GO:0006777)	2	1	.51	+	1.97	3.98E-01
RNA catabolic process (GO:0006401)	2	1	.51	+	1.97	3.98E-01
glutathione biosynthetic process (GO:0006750)	2	1	.51	+	1.97	3.98E-01
glutathione metabolic process (GO:0006749)	4	2	1.01	+	1.97	2.69E-01
nonribosomal peptide biosynthetic process (GO:0019184)	2	1	.51	+	1.97	3.98E-01
glycogen biosynthetic process (GO:0005978)	2	1	.51	+	1.97	3.98E-01
cellular macromolecule catabolic process (GO:0044265)	2	1	.51	+	1.97	3.98E-01
serine family amino acid catabolic process (GO:0009071)	2	1	.51	+	1.97	3.98E-01
cellular amino acid catabolic process (GO:0009063)	4	2	1.01	+	1.97	2.69E-01
fatty acid catabolic process (GO:0009062)	2	1	.51	+	1.97	3.98E-01
cellular lipid catabolic process (GO:0044242)	2	1	.51	+	1.97	3.98E-01
nucleic acid-templated transcription (GO:0097659)	4	2	1.01	+	1.97	2.69E-01
glycine decarboxylation via glycine cleavage system (GO:0019464)	2	1	.51	+	1.97	3.98E-01
sulfate reduction (GO:0019419)	2	1	.51	+	1.97	3.98E-01
pseudouridine synthesis (GO:0001522)	2	1	.51	+	1.97	3.98E-01
protein peptidyl-prolyl isomerization (GO:0000413)	2	1	.51	+	1.97	3.98E-01
regulation of cellular protein metabolic process (GO:0032268)	2	1	.51	+	1.97	3.98E-01
oligosaccharide biosynthetic process (GO:0009312)	6	3	1.52	+	1.97	1.96E-01
amine biosynthetic process (GO:0009309)	8	4	2.03	+	1.97	1.47E-01
amine metabolic process (GO:0009308)	8	4	2.03	+	1.97	1.47E-01
UDP-N-acetylglucosamine metabolic process (GO:0006047)	2	1	.51	+	1.97	3.98E-01
Mo-molybdopterin cofactor metabolic process (GO:0019720)	2	1	.51	+	1.97	3.98E-01
fructose 6-phosphate metabolic process (GO:0006002)	2	1	.51	+	1.97	3.98E-01
cation homeostasis (GO:0055080)	2	1	.51	+	1.97	3.98E-01
tRNA pseudouridine synthesis (GO:0031119)	2	1	.51	+	1.97	3.98E-01
transcription, DNA-templated (GO:0006351)	4	2	1.01	+	1.97	2.69E-01
transition metal ion homeostasis (GO:0055076)	2	1	.51	+	1.97	3.98E-01
iron ion homeostasis (GO:0055072)	2	1	.51	+	1.97	3.98E-01
metal ion homeostasis (GO:0055065)	2	1	.51	+	1.97	3.98E-01
adenine biosynthetic process (GO:0046084)	2	1	.51	+	1.97	3.98E-01
adenine metabolic process (GO:0046083)	2	1	.51	+	1.97	3.98E-01
DNA duplex unwinding (GO:0032508)	6	3	1.52	+	1.97	1.96E-01
chaperone-mediated protein folding (GO:0061077)	2	1	.51	+	1.97	3.98E-01
organic hydroxy compound catabolic process (GO:1901616)	2	1	.51	+	1.97	3.98E-01
coenzyme A biosynthetic process (GO:0015937)	2	1	.51	+	1.97	3.98E-01
coenzyme A metabolic process (GO:0015936)	2	1	.51	+	1.97	3.98E-01
alpha-amino acid catabolic process (GO:1901606)	4	2	1.01	+	1.97	2.69E-01
pyrimidine-containing compound catabolic process (GO:0072529)	2	1	.51	+	1.97	3.98E-01
pyridine-containing compound biosynthetic process (GO:0072525)	6	3	1.52	+	1.97	1.96E-01
pyridine-containing compound metabolic process (GO:0072524)	6	3	1.52	+	1.97	1.96E-01
sulfate assimilation, phosphoadenylyl sulfate reduction by phosphoadenylyl-sulfate reductase (thioredoxin) (GO:0019379)	2	1	.51	+	1.97	3.98E-01
nicotinamide nucleotide biosynthetic process from aspartate (GO:0019355)	2	1	.51	+	1.97	3.98E-01
cellular amine metabolic process (GO:0044106)	8	4	2.03	+	1.97	1.47E-01
deoxyribose phosphate metabolic process (GO:0019692)	2	1	.51	+	1.97	3.98E-01
deoxyribonucleotide metabolic process (GO:0009262)	2	1	.51	+	1.97	3.98E-01
regulation of protein metabolic process (GO:0051246)	2	1	.51	+	1.97	3.98E-01
glucan biosynthetic process (GO:0009250)	2	1	.51	+	1.97	3.98E-01
lipid catabolic process (GO:0016042)	2	1	.51	+	1.97	3.98E-01
peptidyl-proline modification (GO:0018208)	2	1	.51	+	1.97	3.98E-01
nucleotide-sugar metabolic process (GO:0009225)	4	2	1.01	+	1.97	2.69E-01
nucleoside monophosphate phosphorylation (GO:0046940)	2	1	.51	+	1.97	3.98E-01
pyrimidine ribonucleotide biosynthetic process (GO:0009220)	6	3	1.52	+	1.97	1.96E-01
homeostatic process (GO:0042592)	4	2	1.01	+	1.97	2.69E-01
sulfate transmembrane transport (GO:1902358)	4	2	1.01	+	1.97	2.69E-01
cellular carbohydrate biosynthetic process (GO:0034637)	4	2	1.01	+	1.97	2.69E-01
'de novo' NAD biosynthetic process from aspartate (GO:0034628)	2	1	.51	+	1.97	3.98E-01
'de novo' NAD biosynthetic process (GO:0034627)	2	1	.51	+	1.97	3.98E-01
ornithine metabolic process (GO:0006591)	4	2	1.01	+	1.97	2.69E-01
pyrimidine nucleotide metabolic process (GO:0006220)	8	4	2.03	+	1.97	1.47E-01
lipid modification (GO:0030258)	2	1	.51	+	1.97	3.98E-01
cellular biogenic amine metabolic process (GO:0006576)	8	4	2.03	+	1.97	1.47E-01
cell morphogenesis (GO:0000902)	2	1	.51	+	1.97	3.98E-01
glycine catabolic process (GO:0006546)	2	1	.51	+	1.97	3.98E-01
glycine metabolic process (GO:0006544)	2	1	.51	+	1.97	3.98E-01
glutamine metabolic process (GO:0006541)	8	4	2.03	+	1.97	1.47E-01
aspartate metabolic process (GO:0006531)	2	1	.51	+	1.97	3.98E-01
peptidyl-cysteine modification (GO:0018198)	2	1	.51	+	1.97	3.98E-01
nucleobase metabolic process (GO:0009112)	10	5	2.54	+	1.97	1.12E-01
glutamine family amino acid biosynthetic process (GO:0009084)	10	5	2.54	+	1.97	1.12E-01
glutamine family amino acid metabolic process (GO:0009064)	18	9	4.56	+	1.97	4.06E-02
small molecule catabolic process (GO:0044282)	13	6	3.30	+	1.82	1.14E-01
DNA recombination (GO:0006310)	11	5	2.79	+	1.79	1.49E-01
nucleobase biosynthetic process (GO:0046112)	9	4	2.28	+	1.75	1.96E-01
organic hydroxy compound metabolic process (GO:1901615)	9	4	2.28	+	1.75	1.96E-01
indole-containing compound biosynthetic process (GO:0042435)	7	3	1.77	+	1.69	2.62E-01
indole-containing compound metabolic process (GO:0042430)	7	3	1.77	+	1.69	2.62E-01
cellular nitrogen compound catabolic process (GO:0044270)	7	3	1.77	+	1.69	2.62E-01
tryptophan biosynthetic process (GO:0000162)	7	3	1.77	+	1.69	2.62E-01
aromatic compound catabolic process (GO:0019439)	7	3	1.77	+	1.69	2.62E-01
histidine biosynthetic process (GO:0000105)	7	3	1.77	+	1.69	2.62E-01
heterocycle catabolic process (GO:0046700)	7	3	1.77	+	1.69	2.62E-01
oligosaccharide metabolic process (GO:0009311)	7	3	1.77	+	1.69	2.62E-01
pyrimidine ribonucleotide metabolic process (GO:0009218)	7	3	1.77	+	1.69	2.62E-01
indolalkylamine metabolic process (GO:0006586)	7	3	1.77	+	1.69	2.62E-01
tryptophan metabolic process (GO:0006568)	7	3	1.77	+	1.69	2.62E-01
histidine metabolic process (GO:0006547)	7	3	1.77	+	1.69	2.62E-01
indolalkylamine biosynthetic process (GO:0046219)	7	3	1.77	+	1.69	2.62E-01
heme metabolic process (GO:0042168)	12	5	3.04	+	1.64	1.90E-01
pyrimidine-containing compound metabolic process (GO:0072527)	12	5	3.04	+	1.64	1.90E-01
regulation of gene expression (GO:0010468)	15	6	3.80	+	1.58	1.82E-01
respiratory electron transport chain (GO:0022904)	10	4	2.54	+	1.58	2.49E-01
ATP synthesis coupled electron transport (GO:0042773)	5	2	1.27	+	1.58	3.62E-01
energy reserve metabolic process (GO:0006112)	5	2	1.27	+	1.58	3.62E-01
sulfur compound transport (GO:0072348)	5	2	1.27	+	1.58	3.62E-01
lipid A metabolic process (GO:0046493)	5	2	1.27	+	1.58	3.62E-01
monocarboxylic acid catabolic process (GO:0072329)	5	2	1.27	+	1.58	3.62E-01
glycogen metabolic process (GO:0005977)	5	2	1.27	+	1.58	3.62E-01
DNA biosynthetic process (GO:0071897)	5	2	1.27	+	1.58	3.62E-01
sulfate transport (GO:0008272)	5	2	1.27	+	1.58	3.62E-01
cellular glucan metabolic process (GO:0006073)	5	2	1.27	+	1.58	3.62E-01
carboxylic acid catabolic process (GO:0046395)	10	4	2.54	+	1.58	2.49E-01
organic hydroxy compound biosynthetic process (GO:1901617)	5	2	1.27	+	1.58	3.62E-01
inorganic anion transmembrane transport (GO:0098661)	5	2	1.27	+	1.58	3.62E-01
pyrimidine-containing compound biosynthetic process (GO:0072528)	10	4	2.54	+	1.58	2.49E-01
anion transmembrane transport (GO:0098656)	5	2	1.27	+	1.58	3.62E-01
organic acid catabolic process (GO:0016054)	10	4	2.54	+	1.58	2.49E-01
lipid A biosynthetic process (GO:0009245)	5	2	1.27	+	1.58	3.62E-01
lipooligosaccharide biosynthetic process (GO:1901271)	5	2	1.27	+	1.58	3.62E-01
lipooligosaccharide metabolic process (GO:1901269)	5	2	1.27	+	1.58	3.62E-01
glucan metabolic process (GO:0044042)	5	2	1.27	+	1.58	3.62E-01
oxidative phosphorylation (GO:0006119)	8	3	2.03	+	1.48	3.31E-01
organic cyclic compound catabolic process (GO:1901361)	8	3	2.03	+	1.48	3.31E-01
heme biosynthetic process (GO:0006783)	11	4	2.79	+	1.43	3.05E-01
cellular carbohydrate metabolic process (GO:0044262)	11	4	2.79	+	1.43	3.05E-01
cellular catabolic process (GO:0044248)	22	8	5.58	+	1.43	1.97E-01
protein maturation (GO:0051604)	11	4	2.79	+	1.43	3.05E-01
inorganic anion transport (GO:0015698)	14	5	3.55	+	1.41	2.83E-01
regulation of macromolecule metabolic process (GO:0060255)	17	6	4.31	+	1.39	2.63E-01
negative regulation of nitrogen compound metabolic process (GO:0051172)	3	1	.76	+	1.31	5.34E-01
regulation of nitrogen compound metabolic process (GO:0051171)	15	5	3.80	+	1.31	3.32E-01
nucleoside biosynthetic process (GO:0009163)	3	1	.76	+	1.31	5.34E-01
pyrimidine nucleoside triphosphate biosynthetic process (GO:0009148)	3	1	.76	+	1.31	5.34E-01
pyrimidine nucleoside triphosphate metabolic process (GO:0009147)	3	1	.76	+	1.31	5.34E-01
regulation of cellular component organization (GO:0051128)	6	2	1.52	+	1.31	4.50E-01
nucleoside diphosphate metabolic process (GO:0009132)	9	3	2.28	+	1.31	4.00E-01
ribonucleoside metabolic process (GO:0009119)	3	1	.76	+	1.31	5.34E-01
ribonucleoside biosynthetic process (GO:0042455)	3	1	.76	+	1.31	5.34E-01
SOS response (GO:0009432)	9	3	2.28	+	1.31	4.00E-01
AMP biosynthetic process (GO:0006167)	3	1	.76	+	1.31	5.34E-01
intein-mediated protein splicing (GO:0016539)	3	1	.76	+	1.31	5.34E-01
protein phosphorylation (GO:0006468)	3	1	.76	+	1.31	5.34E-01
protein folding (GO:0006457)	6	2	1.52	+	1.31	4.50E-01
nucleic acid phosphodiester bond hydrolysis (GO:0090305)	15	5	3.80	+	1.31	3.32E-01
one-carbon metabolic process (GO:0006730)	3	1	.76	+	1.31	5.34E-01
